,Visual Narrator,GPT-4 v0613,CRF,Visual Narrator SD,GPT-4 v0613 SD,CRF SD,Comparison Mode,Data Groupings
Persona,0.899,0.992,1.0,0.207,0.034,0.0,Strict,Individual Backlog
Entity,0.183,0.752,0.805,0.078,0.083,0.073,Strict,Individual Backlog
Action,0.56,0.772,0.825,0.105,0.116,0.086,Strict,Individual Backlog
Persona,0.908,0.992,1.0,0.186,0.034,0.0,Inclusion,Individual Backlog
Entity,0.187,0.758,0.81,0.079,0.085,0.075,Inclusion,Individual Backlog
Action,0.56,0.779,0.825,0.105,0.113,0.086,Inclusion,Individual Backlog
Persona,0.899,0.992,1.0,0.207,0.034,0.0,Relaxed,Individual Backlog
Entity,0.258,0.796,0.854,0.093,0.074,0.072,Relaxed,Individual Backlog
Action,0.596,0.836,0.861,0.097,0.102,0.067,Relaxed,Individual Backlog
Persona,0.901,0.992,1.0,0.0,0.0,0.0,Strict,Global
Entity,0.182,0.751,0.809,0.0,0.0,0.0,Strict,Global
Action,0.548,0.771,0.826,0.0,0.0,0.0,Strict,Global
Persona,0.913,0.992,1.0,0.0,0.0,0.0,Inclusion,Global
Entity,0.186,0.757,0.814,0.0,0.0,0.0,Inclusion,Global
Action,0.548,0.778,0.826,0.0,0.0,0.0,Inclusion,Global
Persona,0.901,0.992,1.0,0.0,0.0,0.0,Relaxed,Global
Entity,0.262,0.792,0.855,0.0,0.0,0.0,Relaxed,Global
Action,0.59,0.835,0.866,0.0,0.0,0.0,Relaxed,Global
