Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.551,0.26,Strict Comparison,visual_narrator
Persona Recall,0.551,0.26,Strict Comparison,visual_narrator
Persona F-Measure,0.551,0.26,Strict Comparison,visual_narrator
Entity Precision,0.418,0.095,Strict Comparison,visual_narrator
Entity Recall,0.119,0.045,Strict Comparison,visual_narrator
Entity F-Measure,0.184,0.062,Strict Comparison,visual_narrator
Action Precision,0.911,0.036,Strict Comparison,visual_narrator
Action Recall,0.41,0.042,Strict Comparison,visual_narrator
Action F-Measure,0.565,0.044,Strict Comparison,visual_narrator
Persona Precision,0.551,0.26,Inclusion Comparison,visual_narrator
Persona Recall,0.551,0.26,Inclusion Comparison,visual_narrator
Persona F-Measure,0.551,0.26,Inclusion Comparison,visual_narrator
Entity Precision,0.433,0.08,Inclusion Comparison,visual_narrator
Entity Recall,0.123,0.041,Inclusion Comparison,visual_narrator
Entity F-Measure,0.191,0.057,Inclusion Comparison,visual_narrator
Action Precision,0.911,0.036,Inclusion Comparison,visual_narrator
Action Recall,0.41,0.042,Inclusion Comparison,visual_narrator
Action F-Measure,0.565,0.044,Inclusion Comparison,visual_narrator
Persona Precision,0.553,0.26,Relaxed Comparison,visual_narrator
Persona Recall,0.553,0.26,Relaxed Comparison,visual_narrator
Persona F-Measure,0.553,0.26,Relaxed Comparison,visual_narrator
Entity Precision,0.568,0.105,Relaxed Comparison,visual_narrator
Entity Recall,0.161,0.053,Relaxed Comparison,visual_narrator
Entity F-Measure,0.25,0.073,Relaxed Comparison,visual_narrator
Action Precision,0.976,0.02,Relaxed Comparison,visual_narrator
Action Recall,0.439,0.035,Relaxed Comparison,visual_narrator
Action F-Measure,0.605,0.033,Relaxed Comparison,visual_narrator
