Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.856,0,Strict Comparison,ecmfa_vn
Persona Recall,0.862,0,Strict Comparison,ecmfa_vn
Persona F-Measure,0.859,0,Strict Comparison,ecmfa_vn
Entity Precision,0.184,0,Strict Comparison,ecmfa_vn
Entity Recall,0.386,0,Strict Comparison,ecmfa_vn
Entity F-Measure,0.249,0,Strict Comparison,ecmfa_vn
Action Precision,0.076,0,Strict Comparison,ecmfa_vn
Action Recall,0.117,0,Strict Comparison,ecmfa_vn
Action F-Measure,0.092,0,Strict Comparison,ecmfa_vn
Persona Precision,0.876,0,Inclusion Comparison,ecmfa_vn
Persona Recall,0.882,0,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.879,0,Inclusion Comparison,ecmfa_vn
Entity Precision,0.261,0,Inclusion Comparison,ecmfa_vn
Entity Recall,0.547,0,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.353,0,Inclusion Comparison,ecmfa_vn
Action Precision,0.076,0,Inclusion Comparison,ecmfa_vn
Action Recall,0.117,0,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.092,0,Inclusion Comparison,ecmfa_vn
Persona Precision,0.92,0,Relaxed Comparison,ecmfa_vn
Persona Recall,0.926,0,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.923,0,Relaxed Comparison,ecmfa_vn
Entity Precision,0.21,0,Relaxed Comparison,ecmfa_vn
Entity Recall,0.441,0,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.285,0,Relaxed Comparison,ecmfa_vn
Action Precision,0.091,0,Relaxed Comparison,ecmfa_vn
Action Recall,0.14,0,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.11,0,Relaxed Comparison,ecmfa_vn
