Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.855,0.182,Strict Comparison,ecmfa_vn
Persona Recall,0.861,0.184,Strict Comparison,ecmfa_vn
Persona F-Measure,0.858,0.183,Strict Comparison,ecmfa_vn
Entity Precision,0.48,0.111,Strict Comparison,ecmfa_vn
Entity Recall,0.301,0.116,Strict Comparison,ecmfa_vn
Entity F-Measure,0.363,0.108,Strict Comparison,ecmfa_vn
Action Precision,0.086,0.065,Strict Comparison,ecmfa_vn
Action Recall,0.064,0.046,Strict Comparison,ecmfa_vn
Action F-Measure,0.071,0.048,Strict Comparison,ecmfa_vn
Persona Precision,0.872,0.167,Inclusion Comparison,ecmfa_vn
Persona Recall,0.878,0.168,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.875,0.168,Inclusion Comparison,ecmfa_vn
Entity Precision,0.648,0.115,Inclusion Comparison,ecmfa_vn
Entity Recall,0.405,0.138,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.49,0.122,Inclusion Comparison,ecmfa_vn
Action Precision,0.087,0.064,Inclusion Comparison,ecmfa_vn
Action Recall,0.065,0.046,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.072,0.047,Inclusion Comparison,ecmfa_vn
Persona Precision,0.919,0.099,Relaxed Comparison,ecmfa_vn
Persona Recall,0.925,0.101,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.922,0.1,Relaxed Comparison,ecmfa_vn
Entity Precision,0.549,0.119,Relaxed Comparison,ecmfa_vn
Entity Recall,0.344,0.128,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.416,0.118,Relaxed Comparison,ecmfa_vn
Action Precision,0.101,0.067,Relaxed Comparison,ecmfa_vn
Action Recall,0.076,0.051,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.084,0.051,Relaxed Comparison,ecmfa_vn
