Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.855,0.182,Strict Comparison,ecmfa_vn
Persona Recall,0.861,0.184,Strict Comparison,ecmfa_vn
Persona F-Measure,0.858,0.183,Strict Comparison,ecmfa_vn
Entity Precision,0.204,0.093,Strict Comparison,ecmfa_vn
Entity Recall,0.387,0.121,Strict Comparison,ecmfa_vn
Entity F-Measure,0.264,0.101,Strict Comparison,ecmfa_vn
Action Precision,0.078,0.062,Strict Comparison,ecmfa_vn
Action Recall,0.113,0.08,Strict Comparison,ecmfa_vn
Action F-Measure,0.092,0.069,Strict Comparison,ecmfa_vn
Persona Precision,0.872,0.167,Inclusion Comparison,ecmfa_vn
Persona Recall,0.878,0.168,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.875,0.168,Inclusion Comparison,ecmfa_vn
Entity Precision,0.289,0.114,Inclusion Comparison,ecmfa_vn
Entity Recall,0.547,0.112,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.374,0.114,Inclusion Comparison,ecmfa_vn
Action Precision,0.078,0.062,Inclusion Comparison,ecmfa_vn
Action Recall,0.113,0.08,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.092,0.069,Inclusion Comparison,ecmfa_vn
Persona Precision,0.919,0.099,Relaxed Comparison,ecmfa_vn
Persona Recall,0.925,0.101,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.922,0.1,Relaxed Comparison,ecmfa_vn
Entity Precision,0.232,0.099,Relaxed Comparison,ecmfa_vn
Entity Recall,0.44,0.127,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.3,0.107,Relaxed Comparison,ecmfa_vn
Action Precision,0.092,0.064,Relaxed Comparison,ecmfa_vn
Action Recall,0.134,0.084,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.108,0.071,Relaxed Comparison,ecmfa_vn
