Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.983,0.026,Strict Comparison,chatgpt
Persona Recall,0.997,0.007,Strict Comparison,chatgpt
Persona F-Measure,0.99,0.016,Strict Comparison,chatgpt
Entity Precision,0.84,0.064,Strict Comparison,chatgpt
Entity Recall,0.509,0.042,Strict Comparison,chatgpt
Entity F-Measure,0.633,0.049,Strict Comparison,chatgpt
Action Precision,0.727,0.075,Strict Comparison,chatgpt
Action Recall,0.558,0.063,Strict Comparison,chatgpt
Action F-Measure,0.63,0.064,Strict Comparison,chatgpt
Persona Precision,0.983,0.026,Inclusion Comparison,chatgpt
Persona Recall,0.997,0.007,Inclusion Comparison,chatgpt
Persona F-Measure,0.99,0.016,Inclusion Comparison,chatgpt
Entity Precision,0.847,0.063,Inclusion Comparison,chatgpt
Entity Recall,0.513,0.043,Inclusion Comparison,chatgpt
Entity F-Measure,0.638,0.05,Inclusion Comparison,chatgpt
Action Precision,0.759,0.067,Inclusion Comparison,chatgpt
Action Recall,0.583,0.062,Inclusion Comparison,chatgpt
Action F-Measure,0.659,0.06,Inclusion Comparison,chatgpt
Persona Precision,0.983,0.026,Relaxed Comparison,chatgpt
Persona Recall,0.997,0.007,Relaxed Comparison,chatgpt
Persona F-Measure,0.99,0.016,Relaxed Comparison,chatgpt
Entity Precision,0.9,0.044,Relaxed Comparison,chatgpt
Entity Recall,0.545,0.032,Relaxed Comparison,chatgpt
Entity F-Measure,0.678,0.035,Relaxed Comparison,chatgpt
Action Precision,0.786,0.09,Relaxed Comparison,chatgpt
Action Recall,0.602,0.068,Relaxed Comparison,chatgpt
Action F-Measure,0.681,0.073,Relaxed Comparison,chatgpt
