Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.983,0.026,Strict Comparison,chatgpt
Persona Recall,0.997,0.007,Strict Comparison,chatgpt
Persona F-Measure,0.99,0.016,Strict Comparison,chatgpt
Entity Precision,0.388,0.093,Strict Comparison,chatgpt
Entity Recall,0.588,0.067,Strict Comparison,chatgpt
Entity F-Measure,0.465,0.085,Strict Comparison,chatgpt
Action Precision,0.549,0.077,Strict Comparison,chatgpt
Action Recall,0.733,0.149,Strict Comparison,chatgpt
Action F-Measure,0.626,0.105,Strict Comparison,chatgpt
Persona Precision,0.983,0.026,Inclusion Comparison,chatgpt
Persona Recall,0.997,0.007,Inclusion Comparison,chatgpt
Persona F-Measure,0.99,0.016,Inclusion Comparison,chatgpt
Entity Precision,0.39,0.094,Inclusion Comparison,chatgpt
Entity Recall,0.59,0.071,Inclusion Comparison,chatgpt
Entity F-Measure,0.468,0.087,Inclusion Comparison,chatgpt
Action Precision,0.552,0.076,Inclusion Comparison,chatgpt
Action Recall,0.737,0.15,Inclusion Comparison,chatgpt
Action F-Measure,0.629,0.105,Inclusion Comparison,chatgpt
Persona Precision,0.983,0.026,Relaxed Comparison,chatgpt
Persona Recall,0.997,0.007,Relaxed Comparison,chatgpt
Persona F-Measure,0.99,0.016,Relaxed Comparison,chatgpt
Entity Precision,0.408,0.083,Relaxed Comparison,chatgpt
Entity Recall,0.62,0.047,Relaxed Comparison,chatgpt
Entity F-Measure,0.49,0.073,Relaxed Comparison,chatgpt
Action Precision,0.571,0.082,Relaxed Comparison,chatgpt
Action Recall,0.764,0.161,Relaxed Comparison,chatgpt
Action F-Measure,0.652,0.114,Relaxed Comparison,chatgpt
