Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.846,0.019,Strict Comparison,crf
Entity Recall,0.868,0.031,Strict Comparison,crf
Entity F-Measure,0.857,0.024,Strict Comparison,crf
Action Precision,0.836,0.078,Strict Comparison,crf
Action Recall,0.826,0.055,Strict Comparison,crf
Action F-Measure,0.83,0.062,Strict Comparison,crf
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.851,0.024,Inclusion Comparison,crf
Entity Recall,0.874,0.036,Inclusion Comparison,crf
Entity F-Measure,0.862,0.029,Inclusion Comparison,crf
Action Precision,0.836,0.078,Inclusion Comparison,crf
Action Recall,0.826,0.055,Inclusion Comparison,crf
Action F-Measure,0.83,0.062,Inclusion Comparison,crf
Persona Precision,1.0,0.0,Relaxed Comparison,crf
Persona Recall,1.0,0.0,Relaxed Comparison,crf
Persona F-Measure,1.0,0.0,Relaxed Comparison,crf
Entity Precision,0.877,0.019,Relaxed Comparison,crf
Entity Recall,0.9,0.029,Relaxed Comparison,crf
Entity F-Measure,0.888,0.023,Relaxed Comparison,crf
Action Precision,0.881,0.079,Relaxed Comparison,crf
Action Recall,0.87,0.047,Relaxed Comparison,crf
Action F-Measure,0.875,0.058,Relaxed Comparison,crf
