Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.792,0.113,Strict Comparison,crf
Entity Recall,0.694,0.127,Strict Comparison,crf
Entity F-Measure,0.738,0.118,Strict Comparison,crf
Action Precision,0.916,0.047,Strict Comparison,crf
Action Recall,0.899,0.064,Strict Comparison,crf
Action F-Measure,0.907,0.053,Strict Comparison,crf
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.801,0.116,Inclusion Comparison,crf
Entity Recall,0.7,0.122,Inclusion Comparison,crf
Entity F-Measure,0.745,0.115,Inclusion Comparison,crf
Action Precision,0.916,0.047,Inclusion Comparison,crf
Action Recall,0.899,0.064,Inclusion Comparison,crf
Action F-Measure,0.907,0.053,Inclusion Comparison,crf
Persona Precision,1.0,0.0,Relaxed Comparison,crf
Persona Recall,1.0,0.0,Relaxed Comparison,crf
Persona F-Measure,1.0,0.0,Relaxed Comparison,crf
Entity Precision,0.812,0.102,Relaxed Comparison,crf
Entity Recall,0.711,0.124,Relaxed Comparison,crf
Entity F-Measure,0.757,0.111,Relaxed Comparison,crf
Action Precision,0.952,0.029,Relaxed Comparison,crf
Action Recall,0.934,0.058,Relaxed Comparison,crf
Action F-Measure,0.943,0.041,Relaxed Comparison,crf
