Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.762,0.024,Strict Comparison,crf
Entity Recall,0.773,0.045,Strict Comparison,crf
Entity F-Measure,0.767,0.033,Strict Comparison,crf
Action Precision,0.822,0.062,Strict Comparison,crf
Action Recall,0.834,0.046,Strict Comparison,crf
Action F-Measure,0.827,0.048,Strict Comparison,crf
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.771,0.028,Inclusion Comparison,crf
Entity Recall,0.781,0.047,Inclusion Comparison,crf
Entity F-Measure,0.776,0.036,Inclusion Comparison,crf
Action Precision,0.822,0.062,Inclusion Comparison,crf
Action Recall,0.834,0.046,Inclusion Comparison,crf
Action F-Measure,0.827,0.048,Inclusion Comparison,crf
Persona Precision,1.0,0.0,Relaxed Comparison,crf
Persona Recall,1.0,0.0,Relaxed Comparison,crf
Persona F-Measure,1.0,0.0,Relaxed Comparison,crf
Entity Precision,0.819,0.026,Relaxed Comparison,crf
Entity Recall,0.83,0.042,Relaxed Comparison,crf
Entity F-Measure,0.824,0.031,Relaxed Comparison,crf
Action Precision,0.864,0.065,Relaxed Comparison,crf
Action Recall,0.876,0.04,Relaxed Comparison,crf
Action F-Measure,0.87,0.046,Relaxed Comparison,crf
