Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.868,0.164,Strict Comparison,ecmfa_vn
Persona Recall,0.87,0.163,Strict Comparison,ecmfa_vn
Persona F-Measure,0.869,0.163,Strict Comparison,ecmfa_vn
Entity Precision,0.496,0.083,Strict Comparison,ecmfa_vn
Entity Recall,0.329,0.122,Strict Comparison,ecmfa_vn
Entity F-Measure,0.392,0.109,Strict Comparison,ecmfa_vn
Action Precision,0.078,0.009,Strict Comparison,ecmfa_vn
Action Recall,0.056,0.011,Strict Comparison,ecmfa_vn
Action F-Measure,0.065,0.009,Strict Comparison,ecmfa_vn
Persona Precision,0.891,0.121,Inclusion Comparison,ecmfa_vn
Persona Recall,0.893,0.119,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.892,0.12,Inclusion Comparison,ecmfa_vn
Entity Precision,0.653,0.069,Inclusion Comparison,ecmfa_vn
Entity Recall,0.43,0.135,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.514,0.114,Inclusion Comparison,ecmfa_vn
Action Precision,0.079,0.006,Inclusion Comparison,ecmfa_vn
Action Recall,0.057,0.01,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.066,0.007,Inclusion Comparison,ecmfa_vn
Persona Precision,0.922,0.1,Relaxed Comparison,ecmfa_vn
Persona Recall,0.924,0.099,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.923,0.099,Relaxed Comparison,ecmfa_vn
Entity Precision,0.565,0.085,Relaxed Comparison,ecmfa_vn
Entity Recall,0.373,0.131,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.446,0.116,Relaxed Comparison,ecmfa_vn
Action Precision,0.091,0.013,Relaxed Comparison,ecmfa_vn
Action Recall,0.065,0.015,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.076,0.014,Relaxed Comparison,ecmfa_vn
