Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.873,0.158,Strict Comparison,ecmfa_vn
Persona Recall,0.874,0.157,Strict Comparison,ecmfa_vn
Persona F-Measure,0.874,0.158,Strict Comparison,ecmfa_vn
Entity Precision,0.2,0.06,Strict Comparison,ecmfa_vn
Entity Recall,0.433,0.159,Strict Comparison,ecmfa_vn
Entity F-Measure,0.272,0.084,Strict Comparison,ecmfa_vn
Action Precision,0.081,0.023,Strict Comparison,ecmfa_vn
Action Recall,0.119,0.03,Strict Comparison,ecmfa_vn
Action F-Measure,0.096,0.025,Strict Comparison,ecmfa_vn
Persona Precision,0.89,0.13,Inclusion Comparison,ecmfa_vn
Persona Recall,0.891,0.13,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.89,0.13,Inclusion Comparison,ecmfa_vn
Entity Precision,0.257,0.057,Inclusion Comparison,ecmfa_vn
Entity Recall,0.552,0.14,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.348,0.076,Inclusion Comparison,ecmfa_vn
Action Precision,0.081,0.023,Inclusion Comparison,ecmfa_vn
Action Recall,0.119,0.03,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.096,0.025,Inclusion Comparison,ecmfa_vn
Persona Precision,0.926,0.097,Relaxed Comparison,ecmfa_vn
Persona Recall,0.927,0.096,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.927,0.096,Relaxed Comparison,ecmfa_vn
Entity Precision,0.229,0.073,Relaxed Comparison,ecmfa_vn
Entity Recall,0.491,0.155,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.31,0.094,Relaxed Comparison,ecmfa_vn
Action Precision,0.089,0.025,Relaxed Comparison,ecmfa_vn
Action Recall,0.131,0.036,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.106,0.029,Relaxed Comparison,ecmfa_vn
