Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.573,0.256,Strict Comparison,visual_narrator
Persona Recall,0.573,0.256,Strict Comparison,visual_narrator
Persona F-Measure,0.573,0.256,Strict Comparison,visual_narrator
Entity Precision,0.354,0.149,Strict Comparison,visual_narrator
Entity Recall,0.324,0.147,Strict Comparison,visual_narrator
Entity F-Measure,0.338,0.148,Strict Comparison,visual_narrator
Action Precision,0.889,0.069,Strict Comparison,visual_narrator
Action Recall,0.835,0.084,Strict Comparison,visual_narrator
Action F-Measure,0.861,0.075,Strict Comparison,visual_narrator
Persona Precision,0.573,0.256,Inclusion Comparison,visual_narrator
Persona Recall,0.573,0.256,Inclusion Comparison,visual_narrator
Persona F-Measure,0.573,0.256,Inclusion Comparison,visual_narrator
Entity Precision,0.354,0.149,Inclusion Comparison,visual_narrator
Entity Recall,0.324,0.147,Inclusion Comparison,visual_narrator
Entity F-Measure,0.338,0.148,Inclusion Comparison,visual_narrator
Action Precision,0.889,0.069,Inclusion Comparison,visual_narrator
Action Recall,0.835,0.084,Inclusion Comparison,visual_narrator
Action F-Measure,0.861,0.075,Inclusion Comparison,visual_narrator
Persona Precision,0.573,0.256,Relaxed Comparison,visual_narrator
Persona Recall,0.573,0.256,Relaxed Comparison,visual_narrator
Persona F-Measure,0.573,0.256,Relaxed Comparison,visual_narrator
Entity Precision,0.501,0.183,Relaxed Comparison,visual_narrator
Entity Recall,0.458,0.18,Relaxed Comparison,visual_narrator
Entity F-Measure,0.479,0.182,Relaxed Comparison,visual_narrator
Action Precision,0.949,0.056,Relaxed Comparison,visual_narrator
Action Recall,0.891,0.068,Relaxed Comparison,visual_narrator
Action F-Measure,0.919,0.059,Relaxed Comparison,visual_narrator
