Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.969,0,Strict Comparison,chatgpt
Persona Recall,0.997,0,Strict Comparison,chatgpt
Persona F-Measure,0.983,0,Strict Comparison,chatgpt
Entity Precision,0.819,0,Strict Comparison,chatgpt
Entity Recall,0.503,0,Strict Comparison,chatgpt
Entity F-Measure,0.624,0,Strict Comparison,chatgpt
Action Precision,0.745,0,Strict Comparison,chatgpt
Action Recall,0.575,0,Strict Comparison,chatgpt
Action F-Measure,0.649,0,Strict Comparison,chatgpt
Persona Precision,0.969,0,Inclusion Comparison,chatgpt
Persona Recall,0.997,0,Inclusion Comparison,chatgpt
Persona F-Measure,0.983,0,Inclusion Comparison,chatgpt
Entity Precision,0.829,0,Inclusion Comparison,chatgpt
Entity Recall,0.509,0,Inclusion Comparison,chatgpt
Entity F-Measure,0.631,0,Inclusion Comparison,chatgpt
Action Precision,0.779,0,Inclusion Comparison,chatgpt
Action Recall,0.601,0,Inclusion Comparison,chatgpt
Action F-Measure,0.678,0,Inclusion Comparison,chatgpt
Persona Precision,0.969,0,Relaxed Comparison,chatgpt
Persona Recall,0.997,0,Relaxed Comparison,chatgpt
Persona F-Measure,0.983,0,Relaxed Comparison,chatgpt
Entity Precision,0.89,0,Relaxed Comparison,chatgpt
Entity Recall,0.547,0,Relaxed Comparison,chatgpt
Entity F-Measure,0.678,0,Relaxed Comparison,chatgpt
Action Precision,0.807,0,Relaxed Comparison,chatgpt
Action Recall,0.623,0,Relaxed Comparison,chatgpt
Action F-Measure,0.703,0,Relaxed Comparison,chatgpt
