Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.969,0,Strict Comparison,chatgpt
Persona Recall,0.997,0,Strict Comparison,chatgpt
Persona F-Measure,0.983,0,Strict Comparison,chatgpt
Entity Precision,0.357,0,Strict Comparison,chatgpt
Entity Recall,0.568,0,Strict Comparison,chatgpt
Entity F-Measure,0.438,0,Strict Comparison,chatgpt
Action Precision,0.572,0,Strict Comparison,chatgpt
Action Recall,0.77,0,Strict Comparison,chatgpt
Action F-Measure,0.657,0,Strict Comparison,chatgpt
Persona Precision,0.969,0,Inclusion Comparison,chatgpt
Persona Recall,0.997,0,Inclusion Comparison,chatgpt
Persona F-Measure,0.983,0,Inclusion Comparison,chatgpt
Entity Precision,0.359,0,Inclusion Comparison,chatgpt
Entity Recall,0.571,0,Inclusion Comparison,chatgpt
Entity F-Measure,0.441,0,Inclusion Comparison,chatgpt
Action Precision,0.575,0,Inclusion Comparison,chatgpt
Action Recall,0.773,0,Inclusion Comparison,chatgpt
Action F-Measure,0.659,0,Inclusion Comparison,chatgpt
Persona Precision,0.969,0,Relaxed Comparison,chatgpt
Persona Recall,0.997,0,Relaxed Comparison,chatgpt
Persona F-Measure,0.983,0,Relaxed Comparison,chatgpt
Entity Precision,0.383,0,Relaxed Comparison,chatgpt
Entity Recall,0.609,0,Relaxed Comparison,chatgpt
Entity F-Measure,0.47,0,Relaxed Comparison,chatgpt
Action Precision,0.601,0,Relaxed Comparison,chatgpt
Action Recall,0.808,0,Relaxed Comparison,chatgpt
Action F-Measure,0.689,0,Relaxed Comparison,chatgpt
