Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0,Strict Comparison,crf
Persona Recall,1.0,0,Strict Comparison,crf
Persona F-Measure,1.0,0,Strict Comparison,crf
Entity Precision,0.826,0,Strict Comparison,crf
Entity Recall,0.742,0,Strict Comparison,crf
Entity F-Measure,0.782,0,Strict Comparison,crf
Action Precision,0.912,0,Strict Comparison,crf
Action Recall,0.92,0,Strict Comparison,crf
Action F-Measure,0.916,0,Strict Comparison,crf
Persona Precision,1.0,0,Inclusion Comparison,crf
Persona Recall,1.0,0,Inclusion Comparison,crf
Persona F-Measure,1.0,0,Inclusion Comparison,crf
Entity Precision,0.832,0,Inclusion Comparison,crf
Entity Recall,0.748,0,Inclusion Comparison,crf
Entity F-Measure,0.788,0,Inclusion Comparison,crf
Action Precision,0.912,0,Inclusion Comparison,crf
Action Recall,0.92,0,Inclusion Comparison,crf
Action F-Measure,0.916,0,Inclusion Comparison,crf
Persona Precision,1.0,0,Relaxed Comparison,crf
Persona Recall,1.0,0,Relaxed Comparison,crf
Persona F-Measure,1.0,0,Relaxed Comparison,crf
Entity Precision,0.848,0,Relaxed Comparison,crf
Entity Recall,0.762,0,Relaxed Comparison,crf
Entity F-Measure,0.803,0,Relaxed Comparison,crf
Action Precision,0.947,0,Relaxed Comparison,crf
Action Recall,0.956,0,Relaxed Comparison,crf
Action F-Measure,0.952,0,Relaxed Comparison,crf
