Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0,Inclusion Comparison,crf
Persona Recall,1.0,0,Inclusion Comparison,crf
Persona F-Measure,1.0,0,Inclusion Comparison,crf
Entity Precision,0.832,0,Inclusion Comparison,crf
Entity Recall,0.733,0,Inclusion Comparison,crf
Entity F-Measure,0.78,0,Inclusion Comparison,crf
Action Precision,0.926,0,Inclusion Comparison,crf
Action Recall,0.929,0,Inclusion Comparison,crf
Action F-Measure,0.928,0,Inclusion Comparison,crf
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0,Inclusion Comparison,crf
Persona Recall,1.0,0,Inclusion Comparison,crf
Persona F-Measure,1.0,0,Inclusion Comparison,crf
Entity Precision,0.764,0,Inclusion Comparison,crf
Entity Recall,0.676,0,Inclusion Comparison,crf
Entity F-Measure,0.718,0,Inclusion Comparison,crf
Action Precision,0.906,0,Inclusion Comparison,crf
Action Recall,0.893,0,Inclusion Comparison,crf
Action F-Measure,0.9,0,Inclusion Comparison,crf
