Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0,Strict Comparison,crf
Persona Recall,1.0,0,Strict Comparison,crf
Persona F-Measure,1.0,0,Strict Comparison,crf
Entity Precision,0.85,0,Strict Comparison,crf
Entity Recall,0.862,0,Strict Comparison,crf
Entity F-Measure,0.856,0,Strict Comparison,crf
Action Precision,0.861,0,Strict Comparison,crf
Action Recall,0.865,0,Strict Comparison,crf
Action F-Measure,0.863,0,Strict Comparison,crf
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0,Strict Comparison,crf
Persona Recall,1.0,0,Strict Comparison,crf
Persona F-Measure,1.0,0,Strict Comparison,crf
Entity Precision,0.798,0,Strict Comparison,crf
Entity Recall,0.819,0,Strict Comparison,crf
Entity F-Measure,0.809,0,Strict Comparison,crf
Action Precision,0.842,0,Strict Comparison,crf
Action Recall,0.81,0,Strict Comparison,crf
Action F-Measure,0.826,0,Strict Comparison,crf
