Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.852,0,Strict Comparison,ecmfa_vn
Persona Recall,0.857,0,Strict Comparison,ecmfa_vn
Persona F-Measure,0.855,0,Strict Comparison,ecmfa_vn
Entity Precision,0.463,0,Strict Comparison,ecmfa_vn
Entity Recall,0.297,0,Strict Comparison,ecmfa_vn
Entity F-Measure,0.362,0,Strict Comparison,ecmfa_vn
Action Precision,0.075,0,Strict Comparison,ecmfa_vn
Action Recall,0.055,0,Strict Comparison,ecmfa_vn
Action F-Measure,0.063,0,Strict Comparison,ecmfa_vn
Persona Precision,0.873,0,Inclusion Comparison,ecmfa_vn
Persona Recall,0.878,0,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.875,0,Inclusion Comparison,ecmfa_vn
Entity Precision,0.629,0,Inclusion Comparison,ecmfa_vn
Entity Recall,0.403,0,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.491,0,Inclusion Comparison,ecmfa_vn
Action Precision,0.077,0,Inclusion Comparison,ecmfa_vn
Action Recall,0.056,0,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.064,0,Inclusion Comparison,ecmfa_vn
Persona Precision,0.914,0,Relaxed Comparison,ecmfa_vn
Persona Recall,0.919,0,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.917,0,Relaxed Comparison,ecmfa_vn
Entity Precision,0.528,0,Relaxed Comparison,ecmfa_vn
Entity Recall,0.338,0,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.412,0,Relaxed Comparison,ecmfa_vn
Action Precision,0.088,0,Relaxed Comparison,ecmfa_vn
Action Recall,0.064,0,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.074,0,Relaxed Comparison,ecmfa_vn
