Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.99,0,Strict Comparison,gpt_4_v0613
Persona Recall,0.994,0,Strict Comparison,gpt_4_v0613
Persona F-Measure,0.992,0,Strict Comparison,gpt_4_v0613
Entity Precision,0.258,0,Strict Comparison,gpt_4_v0613
Entity Recall,0.744,0,Strict Comparison,gpt_4_v0613
Entity F-Measure,0.384,0,Strict Comparison,gpt_4_v0613
Action Precision,0.452,0,Strict Comparison,gpt_4_v0613
Action Recall,0.89,0,Strict Comparison,gpt_4_v0613
Action F-Measure,0.6,0,Strict Comparison,gpt_4_v0613
Persona Precision,0.99,0,Inclusion Comparison,gpt_4_v0613
Persona Recall,0.994,0,Inclusion Comparison,gpt_4_v0613
Persona F-Measure,0.992,0,Inclusion Comparison,gpt_4_v0613
Entity Precision,0.259,0,Inclusion Comparison,gpt_4_v0613
Entity Recall,0.747,0,Inclusion Comparison,gpt_4_v0613
Entity F-Measure,0.385,0,Inclusion Comparison,gpt_4_v0613
Action Precision,0.454,0,Inclusion Comparison,gpt_4_v0613
Action Recall,0.893,0,Inclusion Comparison,gpt_4_v0613
Action F-Measure,0.602,0,Inclusion Comparison,gpt_4_v0613
Persona Precision,0.99,0,Relaxed Comparison,gpt_4_v0613
Persona Recall,0.994,0,Relaxed Comparison,gpt_4_v0613
Persona F-Measure,0.992,0,Relaxed Comparison,gpt_4_v0613
Entity Precision,0.273,0,Relaxed Comparison,gpt_4_v0613
Entity Recall,0.785,0,Relaxed Comparison,gpt_4_v0613
Entity F-Measure,0.405,0,Relaxed Comparison,gpt_4_v0613
Action Precision,0.467,0,Relaxed Comparison,gpt_4_v0613
Action Recall,0.92,0,Relaxed Comparison,gpt_4_v0613
Action F-Measure,0.62,0,Relaxed Comparison,gpt_4_v0613
