Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.994,0,Strict Comparison,simple
Persona Recall,0.994,0,Strict Comparison,simple
Persona F-Measure,0.994,0,Strict Comparison,simple
Entity Precision,0.223,0,Strict Comparison,simple
Entity Recall,0.409,0,Strict Comparison,simple
Entity F-Measure,0.289,0,Strict Comparison,simple
Action Precision,0.288,0,Strict Comparison,simple
Action Recall,0.795,0,Strict Comparison,simple
Action F-Measure,0.423,0,Strict Comparison,simple
Persona Precision,0.994,0,Inclusion Comparison,simple
Persona Recall,0.994,0,Inclusion Comparison,simple
Persona F-Measure,0.994,0,Inclusion Comparison,simple
Entity Precision,0.226,0,Inclusion Comparison,simple
Entity Recall,0.414,0,Inclusion Comparison,simple
Entity F-Measure,0.292,0,Inclusion Comparison,simple
Action Precision,0.288,0,Inclusion Comparison,simple
Action Recall,0.795,0,Inclusion Comparison,simple
Action F-Measure,0.423,0,Inclusion Comparison,simple
Persona Precision,0.994,0,Relaxed Comparison,simple
Persona Recall,0.994,0,Relaxed Comparison,simple
Persona F-Measure,0.994,0,Relaxed Comparison,simple
Entity Precision,0.307,0,Relaxed Comparison,simple
Entity Recall,0.562,0,Relaxed Comparison,simple
Entity F-Measure,0.397,0,Relaxed Comparison,simple
Action Precision,0.315,0,Relaxed Comparison,simple
Action Recall,0.87,0,Relaxed Comparison,simple
Action F-Measure,0.462,0,Relaxed Comparison,simple
