Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.996,0,Strict Comparison,simple
Persona Recall,0.996,0,Strict Comparison,simple
Persona F-Measure,0.996,0,Strict Comparison,simple
Entity Precision,0.059,0,Strict Comparison,simple
Entity Recall,0.364,0,Strict Comparison,simple
Entity F-Measure,0.101,0,Strict Comparison,simple
Action Precision,0.147,0,Strict Comparison,simple
Action Recall,0.885,0,Strict Comparison,simple
Action F-Measure,0.253,0,Strict Comparison,simple
Persona Precision,0.996,0,Inclusion Comparison,simple
Persona Recall,0.996,0,Inclusion Comparison,simple
Persona F-Measure,0.996,0,Inclusion Comparison,simple
Entity Precision,0.059,0,Inclusion Comparison,simple
Entity Recall,0.368,0,Inclusion Comparison,simple
Entity F-Measure,0.102,0,Inclusion Comparison,simple
Action Precision,0.147,0,Inclusion Comparison,simple
Action Recall,0.885,0,Inclusion Comparison,simple
Action F-Measure,0.253,0,Inclusion Comparison,simple
Persona Precision,0.996,0,Relaxed Comparison,simple
Persona Recall,0.996,0,Relaxed Comparison,simple
Persona F-Measure,0.996,0,Relaxed Comparison,simple
Entity Precision,0.087,0,Relaxed Comparison,simple
Entity Recall,0.54,0,Relaxed Comparison,simple
Entity F-Measure,0.15,0,Relaxed Comparison,simple
Action Precision,0.157,0,Relaxed Comparison,simple
Action Recall,0.944,0,Relaxed Comparison,simple
Action F-Measure,0.27,0,Relaxed Comparison,simple
