Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.901,0,Strict Comparison,visual_narrator
Persona Recall,0.901,0,Strict Comparison,visual_narrator
Persona F-Measure,0.901,0,Strict Comparison,visual_narrator
Entity Precision,0.429,0,Strict Comparison,visual_narrator
Entity Recall,0.116,0,Strict Comparison,visual_narrator
Entity F-Measure,0.182,0,Strict Comparison,visual_narrator
Action Precision,0.91,0,Strict Comparison,visual_narrator
Action Recall,0.392,0,Strict Comparison,visual_narrator
Action F-Measure,0.548,0,Strict Comparison,visual_narrator
Persona Precision,0.913,0,Inclusion Comparison,visual_narrator
Persona Recall,0.913,0,Inclusion Comparison,visual_narrator
Persona F-Measure,0.913,0,Inclusion Comparison,visual_narrator
Entity Precision,0.439,0,Inclusion Comparison,visual_narrator
Entity Recall,0.118,0,Inclusion Comparison,visual_narrator
Entity F-Measure,0.186,0,Inclusion Comparison,visual_narrator
Action Precision,0.91,0,Inclusion Comparison,visual_narrator
Action Recall,0.392,0,Inclusion Comparison,visual_narrator
Action F-Measure,0.548,0,Inclusion Comparison,visual_narrator
Persona Precision,0.901,0,Relaxed Comparison,visual_narrator
Persona Recall,0.901,0,Relaxed Comparison,visual_narrator
Persona F-Measure,0.901,0,Relaxed Comparison,visual_narrator
Entity Precision,0.619,0,Relaxed Comparison,visual_narrator
Entity Recall,0.166,0,Relaxed Comparison,visual_narrator
Entity F-Measure,0.262,0,Relaxed Comparison,visual_narrator
Action Precision,0.981,0,Relaxed Comparison,visual_narrator
Action Recall,0.422,0,Relaxed Comparison,visual_narrator
Action F-Measure,0.59,0,Relaxed Comparison,visual_narrator
