Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.587,0,Strict Comparison,visual_narrator
Persona Recall,0.587,0,Strict Comparison,visual_narrator
Persona F-Measure,0.587,0,Strict Comparison,visual_narrator
Entity Precision,0.368,0,Strict Comparison,visual_narrator
Entity Recall,0.329,0,Strict Comparison,visual_narrator
Entity F-Measure,0.347,0,Strict Comparison,visual_narrator
Action Precision,0.899,0,Strict Comparison,visual_narrator
Action Recall,0.833,0,Strict Comparison,visual_narrator
Action F-Measure,0.865,0,Strict Comparison,visual_narrator
Persona Precision,0.587,0,Inclusion Comparison,visual_narrator
Persona Recall,0.587,0,Inclusion Comparison,visual_narrator
Persona F-Measure,0.587,0,Inclusion Comparison,visual_narrator
Entity Precision,0.368,0,Inclusion Comparison,visual_narrator
Entity Recall,0.329,0,Inclusion Comparison,visual_narrator
Entity F-Measure,0.347,0,Inclusion Comparison,visual_narrator
Action Precision,0.899,0,Inclusion Comparison,visual_narrator
Action Recall,0.833,0,Inclusion Comparison,visual_narrator
Action F-Measure,0.865,0,Inclusion Comparison,visual_narrator
Persona Precision,0.587,0,Relaxed Comparison,visual_narrator
Persona Recall,0.587,0,Relaxed Comparison,visual_narrator
Persona F-Measure,0.587,0,Relaxed Comparison,visual_narrator
Entity Precision,0.529,0,Relaxed Comparison,visual_narrator
Entity Recall,0.473,0,Relaxed Comparison,visual_narrator
Entity F-Measure,0.5,0,Relaxed Comparison,visual_narrator
Action Precision,0.967,0,Relaxed Comparison,visual_narrator
Action Recall,0.897,0,Relaxed Comparison,visual_narrator
Action F-Measure,0.93,0,Relaxed Comparison,visual_narrator
