Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.914,0,Inclusion Comparison,visual_narrator
Persona Recall,0.914,0,Inclusion Comparison,visual_narrator
Persona F-Measure,0.914,0,Inclusion Comparison,visual_narrator
Entity Precision,0.438,0,Inclusion Comparison,visual_narrator
Entity Recall,0.118,0,Inclusion Comparison,visual_narrator
Entity F-Measure,0.186,0,Inclusion Comparison,visual_narrator
Action Precision,0.908,0,Inclusion Comparison,visual_narrator
Action Recall,0.391,0,Inclusion Comparison,visual_narrator
Action F-Measure,0.546,0,Inclusion Comparison,visual_narrator
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.913,0,Inclusion Comparison,visual_narrator
Persona Recall,0.913,0,Inclusion Comparison,visual_narrator
Persona F-Measure,0.913,0,Inclusion Comparison,visual_narrator
Entity Precision,0.439,0,Inclusion Comparison,visual_narrator
Entity Recall,0.118,0,Inclusion Comparison,visual_narrator
Entity F-Measure,0.186,0,Inclusion Comparison,visual_narrator
Action Precision,0.91,0,Inclusion Comparison,visual_narrator
Action Recall,0.392,0,Inclusion Comparison,visual_narrator
Action F-Measure,0.548,0,Inclusion Comparison,visual_narrator
