Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.902,0,Relaxed Comparison,visual_narrator
Persona Recall,0.902,0,Relaxed Comparison,visual_narrator
Persona F-Measure,0.902,0,Relaxed Comparison,visual_narrator
Entity Precision,0.616,0,Relaxed Comparison,visual_narrator
Entity Recall,0.166,0,Relaxed Comparison,visual_narrator
Entity F-Measure,0.261,0,Relaxed Comparison,visual_narrator
Action Precision,0.978,0,Relaxed Comparison,visual_narrator
Action Recall,0.421,0,Relaxed Comparison,visual_narrator
Action F-Measure,0.588,0,Relaxed Comparison,visual_narrator
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.901,0,Relaxed Comparison,visual_narrator
Persona Recall,0.901,0,Relaxed Comparison,visual_narrator
Persona F-Measure,0.901,0,Relaxed Comparison,visual_narrator
Entity Precision,0.619,0,Relaxed Comparison,visual_narrator
Entity Recall,0.166,0,Relaxed Comparison,visual_narrator
Entity F-Measure,0.262,0,Relaxed Comparison,visual_narrator
Action Precision,0.981,0,Relaxed Comparison,visual_narrator
Action Recall,0.422,0,Relaxed Comparison,visual_narrator
Action F-Measure,0.59,0,Relaxed Comparison,visual_narrator
