Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.902,0,Strict Comparison,visual_narrator
Persona Recall,0.902,0,Strict Comparison,visual_narrator
Persona F-Measure,0.902,0,Strict Comparison,visual_narrator
Entity Precision,0.429,0,Strict Comparison,visual_narrator
Entity Recall,0.115,0,Strict Comparison,visual_narrator
Entity F-Measure,0.182,0,Strict Comparison,visual_narrator
Action Precision,0.908,0,Strict Comparison,visual_narrator
Action Recall,0.391,0,Strict Comparison,visual_narrator
Action F-Measure,0.546,0,Strict Comparison,visual_narrator
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.901,0,Strict Comparison,visual_narrator
Persona Recall,0.901,0,Strict Comparison,visual_narrator
Persona F-Measure,0.901,0,Strict Comparison,visual_narrator
Entity Precision,0.429,0,Strict Comparison,visual_narrator
Entity Recall,0.116,0,Strict Comparison,visual_narrator
Entity F-Measure,0.182,0,Strict Comparison,visual_narrator
Action Precision,0.91,0,Strict Comparison,visual_narrator
Action Recall,0.392,0,Strict Comparison,visual_narrator
Action F-Measure,0.548,0,Strict Comparison,visual_narrator
