Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.971,0.047,Strict Comparison,chatgpt
Persona Recall,0.996,0.017,Strict Comparison,chatgpt
Persona F-Measure,0.983,0.03,Strict Comparison,chatgpt
Entity Precision,0.383,0.126,Strict Comparison,chatgpt
Entity Recall,0.594,0.183,Strict Comparison,chatgpt
Entity F-Measure,0.46,0.139,Strict Comparison,chatgpt
Action Precision,0.606,0.187,Strict Comparison,chatgpt
Action Recall,0.79,0.164,Strict Comparison,chatgpt
Action F-Measure,0.68,0.171,Strict Comparison,chatgpt
Persona Precision,0.971,0.047,Inclusion Comparison,chatgpt
Persona Recall,0.996,0.017,Inclusion Comparison,chatgpt
Persona F-Measure,0.983,0.03,Inclusion Comparison,chatgpt
Entity Precision,0.386,0.13,Inclusion Comparison,chatgpt
Entity Recall,0.598,0.185,Inclusion Comparison,chatgpt
Entity F-Measure,0.464,0.143,Inclusion Comparison,chatgpt
Action Precision,0.609,0.188,Inclusion Comparison,chatgpt
Action Recall,0.794,0.166,Inclusion Comparison,chatgpt
Action F-Measure,0.684,0.173,Inclusion Comparison,chatgpt
Persona Precision,0.971,0.047,Relaxed Comparison,chatgpt
Persona Recall,0.996,0.017,Relaxed Comparison,chatgpt
Persona F-Measure,0.983,0.03,Relaxed Comparison,chatgpt
Entity Precision,0.411,0.133,Relaxed Comparison,chatgpt
Entity Recall,0.634,0.176,Relaxed Comparison,chatgpt
Entity F-Measure,0.493,0.142,Relaxed Comparison,chatgpt
Action Precision,0.629,0.169,Relaxed Comparison,chatgpt
Action Recall,0.824,0.144,Relaxed Comparison,chatgpt
Action F-Measure,0.708,0.151,Relaxed Comparison,chatgpt
