Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.998,0.009,Strict Comparison,crf
Persona Recall,0.998,0.009,Strict Comparison,crf
Persona F-Measure,0.998,0.009,Strict Comparison,crf
Entity Precision,0.796,0.071,Strict Comparison,crf
Entity Recall,0.807,0.086,Strict Comparison,crf
Entity F-Measure,0.801,0.077,Strict Comparison,crf
Action Precision,0.83,0.113,Strict Comparison,crf
Action Recall,0.808,0.073,Strict Comparison,crf
Action F-Measure,0.817,0.089,Strict Comparison,crf
Persona Precision,0.998,0.009,Inclusion Comparison,crf
Persona Recall,0.998,0.009,Inclusion Comparison,crf
Persona F-Measure,0.998,0.009,Inclusion Comparison,crf
Entity Precision,0.802,0.072,Inclusion Comparison,crf
Entity Recall,0.813,0.086,Inclusion Comparison,crf
Entity F-Measure,0.807,0.077,Inclusion Comparison,crf
Action Precision,0.83,0.113,Inclusion Comparison,crf
Action Recall,0.808,0.073,Inclusion Comparison,crf
Action F-Measure,0.817,0.089,Inclusion Comparison,crf
Persona Precision,0.998,0.009,Relaxed Comparison,crf
Persona Recall,0.998,0.009,Relaxed Comparison,crf
Persona F-Measure,0.998,0.009,Relaxed Comparison,crf
Entity Precision,0.841,0.062,Relaxed Comparison,crf
Entity Recall,0.851,0.076,Relaxed Comparison,crf
Entity F-Measure,0.845,0.066,Relaxed Comparison,crf
Action Precision,0.875,0.084,Relaxed Comparison,crf
Action Recall,0.854,0.056,Relaxed Comparison,crf
Action F-Measure,0.863,0.062,Relaxed Comparison,crf
