Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.756,0.14,Strict Comparison,crf
Entity Recall,0.678,0.149,Strict Comparison,crf
Entity F-Measure,0.71,0.135,Strict Comparison,crf
Action Precision,0.929,0.086,Strict Comparison,crf
Action Recall,0.89,0.084,Strict Comparison,crf
Action F-Measure,0.907,0.074,Strict Comparison,crf
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.765,0.134,Inclusion Comparison,crf
Entity Recall,0.685,0.14,Inclusion Comparison,crf
Entity F-Measure,0.717,0.125,Inclusion Comparison,crf
Action Precision,0.929,0.086,Inclusion Comparison,crf
Action Recall,0.89,0.084,Inclusion Comparison,crf
Action F-Measure,0.907,0.074,Inclusion Comparison,crf
Persona Precision,1.0,0.0,Relaxed Comparison,crf
Persona Recall,1.0,0.0,Relaxed Comparison,crf
Persona F-Measure,1.0,0.0,Relaxed Comparison,crf
Entity Precision,0.807,0.112,Relaxed Comparison,crf
Entity Recall,0.725,0.138,Relaxed Comparison,crf
Entity F-Measure,0.758,0.111,Relaxed Comparison,crf
Action Precision,0.956,0.058,Relaxed Comparison,crf
Action Recall,0.917,0.078,Relaxed Comparison,crf
Action F-Measure,0.934,0.054,Relaxed Comparison,crf
