Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.802,0.072,Inclusion Comparison,crf
Entity Recall,0.819,0.084,Inclusion Comparison,crf
Entity F-Measure,0.81,0.075,Inclusion Comparison,crf
Action Precision,0.853,0.092,Inclusion Comparison,crf
Action Recall,0.803,0.099,Inclusion Comparison,crf
Action F-Measure,0.825,0.086,Inclusion Comparison,crf
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.802,0.072,Inclusion Comparison,crf
Entity Recall,0.819,0.084,Inclusion Comparison,crf
Entity F-Measure,0.81,0.075,Inclusion Comparison,crf
Action Precision,0.853,0.092,Inclusion Comparison,crf
Action Recall,0.803,0.099,Inclusion Comparison,crf
Action F-Measure,0.825,0.086,Inclusion Comparison,crf
