Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.761,0.131,Inclusion Comparison,crf
Entity Recall,0.675,0.137,Inclusion Comparison,crf
Entity F-Measure,0.711,0.124,Inclusion Comparison,crf
Action Precision,0.916,0.078,Inclusion Comparison,crf
Action Recall,0.885,0.108,Inclusion Comparison,crf
Action F-Measure,0.897,0.085,Inclusion Comparison,crf
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.761,0.131,Inclusion Comparison,crf
Entity Recall,0.675,0.137,Inclusion Comparison,crf
Entity F-Measure,0.711,0.124,Inclusion Comparison,crf
Action Precision,0.916,0.078,Inclusion Comparison,crf
Action Recall,0.885,0.108,Inclusion Comparison,crf
Action F-Measure,0.897,0.085,Inclusion Comparison,crf
