Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.797,0.069,Strict Comparison,crf
Entity Recall,0.814,0.082,Strict Comparison,crf
Entity F-Measure,0.805,0.073,Strict Comparison,crf
Action Precision,0.853,0.092,Strict Comparison,crf
Action Recall,0.803,0.099,Strict Comparison,crf
Action F-Measure,0.825,0.086,Strict Comparison,crf
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.797,0.069,Strict Comparison,crf
Entity Recall,0.814,0.082,Strict Comparison,crf
Entity F-Measure,0.805,0.073,Strict Comparison,crf
Action Precision,0.853,0.092,Strict Comparison,crf
Action Recall,0.803,0.099,Strict Comparison,crf
Action F-Measure,0.825,0.086,Strict Comparison,crf
