Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.753,0.139,Strict Comparison,crf
Entity Recall,0.669,0.146,Strict Comparison,crf
Entity F-Measure,0.704,0.134,Strict Comparison,crf
Action Precision,0.916,0.078,Strict Comparison,crf
Action Recall,0.885,0.108,Strict Comparison,crf
Action F-Measure,0.897,0.085,Strict Comparison,crf
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.753,0.139,Strict Comparison,crf
Entity Recall,0.669,0.146,Strict Comparison,crf
Entity F-Measure,0.704,0.134,Strict Comparison,crf
Action Precision,0.916,0.078,Strict Comparison,crf
Action Recall,0.885,0.108,Strict Comparison,crf
Action F-Measure,0.897,0.085,Strict Comparison,crf
