Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.811,0.057,Strict Comparison,crf
Entity Recall,0.827,0.064,Strict Comparison,crf
Entity F-Measure,0.818,0.058,Strict Comparison,crf
Action Precision,0.857,0.097,Strict Comparison,crf
Action Recall,0.801,0.069,Strict Comparison,crf
Action F-Measure,0.826,0.071,Strict Comparison,crf
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.815,0.059,Inclusion Comparison,crf
Entity Recall,0.832,0.066,Inclusion Comparison,crf
Entity F-Measure,0.823,0.059,Inclusion Comparison,crf
Action Precision,0.858,0.096,Inclusion Comparison,crf
Action Recall,0.803,0.069,Inclusion Comparison,crf
Action F-Measure,0.827,0.071,Inclusion Comparison,crf
Persona Precision,1.0,0.0,Relaxed Comparison,crf
Persona Recall,1.0,0.0,Relaxed Comparison,crf
Persona F-Measure,1.0,0.0,Relaxed Comparison,crf
Entity Precision,0.856,0.056,Relaxed Comparison,crf
Entity Recall,0.874,0.065,Relaxed Comparison,crf
Entity F-Measure,0.865,0.057,Relaxed Comparison,crf
Action Precision,0.895,0.079,Relaxed Comparison,crf
Action Recall,0.838,0.057,Relaxed Comparison,crf
Action F-Measure,0.863,0.051,Relaxed Comparison,crf
