Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.866,0.217,Strict Comparison,ecmfa_vn
Persona Recall,0.867,0.215,Strict Comparison,ecmfa_vn
Persona F-Measure,0.867,0.216,Strict Comparison,ecmfa_vn
Entity Precision,0.475,0.134,Strict Comparison,ecmfa_vn
Entity Recall,0.293,0.114,Strict Comparison,ecmfa_vn
Entity F-Measure,0.355,0.112,Strict Comparison,ecmfa_vn
Action Precision,0.083,0.085,Strict Comparison,ecmfa_vn
Action Recall,0.059,0.058,Strict Comparison,ecmfa_vn
Action F-Measure,0.067,0.064,Strict Comparison,ecmfa_vn
Persona Precision,0.88,0.197,Inclusion Comparison,ecmfa_vn
Persona Recall,0.881,0.195,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.88,0.196,Inclusion Comparison,ecmfa_vn
Entity Precision,0.647,0.122,Inclusion Comparison,ecmfa_vn
Entity Recall,0.403,0.136,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.487,0.122,Inclusion Comparison,ecmfa_vn
Action Precision,0.085,0.087,Inclusion Comparison,ecmfa_vn
Action Recall,0.061,0.058,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.068,0.065,Inclusion Comparison,ecmfa_vn
Persona Precision,0.926,0.125,Relaxed Comparison,ecmfa_vn
Persona Recall,0.928,0.122,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.927,0.123,Relaxed Comparison,ecmfa_vn
Entity Precision,0.55,0.154,Relaxed Comparison,ecmfa_vn
Entity Recall,0.34,0.131,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.412,0.13,Relaxed Comparison,ecmfa_vn
Action Precision,0.093,0.084,Relaxed Comparison,ecmfa_vn
Action Recall,0.067,0.061,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.075,0.065,Relaxed Comparison,ecmfa_vn
