Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.991,0.034,Strict Comparison,gpt_4_v0613
Persona Recall,0.993,0.034,Strict Comparison,gpt_4_v0613
Persona F-Measure,0.992,0.034,Strict Comparison,gpt_4_v0613
Entity Precision,0.817,0.08,Strict Comparison,gpt_4_v0613
Entity Recall,0.698,0.09,Strict Comparison,gpt_4_v0613
Entity F-Measure,0.752,0.083,Strict Comparison,gpt_4_v0613
Action Precision,0.809,0.116,Strict Comparison,gpt_4_v0613
Action Recall,0.742,0.125,Strict Comparison,gpt_4_v0613
Action F-Measure,0.772,0.116,Strict Comparison,gpt_4_v0613
Persona Precision,0.991,0.034,Inclusion Comparison,gpt_4_v0613
Persona Recall,0.993,0.034,Inclusion Comparison,gpt_4_v0613
Persona F-Measure,0.992,0.034,Inclusion Comparison,gpt_4_v0613
Entity Precision,0.824,0.082,Inclusion Comparison,gpt_4_v0613
Entity Recall,0.703,0.092,Inclusion Comparison,gpt_4_v0613
Entity F-Measure,0.758,0.085,Inclusion Comparison,gpt_4_v0613
Action Precision,0.817,0.115,Inclusion Comparison,gpt_4_v0613
Action Recall,0.749,0.122,Inclusion Comparison,gpt_4_v0613
Action F-Measure,0.779,0.113,Inclusion Comparison,gpt_4_v0613
Persona Precision,0.991,0.034,Relaxed Comparison,gpt_4_v0613
Persona Recall,0.993,0.034,Relaxed Comparison,gpt_4_v0613
Persona F-Measure,0.992,0.034,Relaxed Comparison,gpt_4_v0613
Entity Precision,0.865,0.067,Relaxed Comparison,gpt_4_v0613
Entity Recall,0.739,0.085,Relaxed Comparison,gpt_4_v0613
Entity F-Measure,0.796,0.074,Relaxed Comparison,gpt_4_v0613
Action Precision,0.876,0.103,Relaxed Comparison,gpt_4_v0613
Action Recall,0.803,0.112,Relaxed Comparison,gpt_4_v0613
Action F-Measure,0.836,0.102,Relaxed Comparison,gpt_4_v0613
