Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.991,0.034,Strict Comparison,gpt_4_v0613
Persona Recall,0.993,0.034,Strict Comparison,gpt_4_v0613
Persona F-Measure,0.992,0.034,Strict Comparison,gpt_4_v0613
Entity Precision,0.264,0.067,Strict Comparison,gpt_4_v0613
Entity Recall,0.747,0.149,Strict Comparison,gpt_4_v0613
Entity F-Measure,0.388,0.086,Strict Comparison,gpt_4_v0613
Action Precision,0.476,0.153,Strict Comparison,gpt_4_v0613
Action Recall,0.891,0.117,Strict Comparison,gpt_4_v0613
Action F-Measure,0.612,0.137,Strict Comparison,gpt_4_v0613
Persona Precision,0.991,0.034,Inclusion Comparison,gpt_4_v0613
Persona Recall,0.993,0.034,Inclusion Comparison,gpt_4_v0613
Persona F-Measure,0.992,0.034,Inclusion Comparison,gpt_4_v0613
Entity Precision,0.266,0.066,Inclusion Comparison,gpt_4_v0613
Entity Recall,0.751,0.147,Inclusion Comparison,gpt_4_v0613
Entity F-Measure,0.39,0.085,Inclusion Comparison,gpt_4_v0613
Action Precision,0.479,0.152,Inclusion Comparison,gpt_4_v0613
Action Recall,0.896,0.112,Inclusion Comparison,gpt_4_v0613
Action F-Measure,0.616,0.135,Inclusion Comparison,gpt_4_v0613
Persona Precision,0.991,0.034,Relaxed Comparison,gpt_4_v0613
Persona Recall,0.993,0.034,Relaxed Comparison,gpt_4_v0613
Persona F-Measure,0.992,0.034,Relaxed Comparison,gpt_4_v0613
Entity Precision,0.279,0.071,Relaxed Comparison,gpt_4_v0613
Entity Recall,0.785,0.142,Relaxed Comparison,gpt_4_v0613
Entity F-Measure,0.409,0.089,Relaxed Comparison,gpt_4_v0613
Action Precision,0.491,0.154,Relaxed Comparison,gpt_4_v0613
Action Recall,0.92,0.112,Relaxed Comparison,gpt_4_v0613
Action F-Measure,0.631,0.135,Relaxed Comparison,gpt_4_v0613
