Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.899,0.207,Strict Comparison,visual_narrator
Persona Recall,0.899,0.207,Strict Comparison,visual_narrator
Persona F-Measure,0.899,0.207,Strict Comparison,visual_narrator
Entity Precision,0.423,0.172,Strict Comparison,visual_narrator
Entity Recall,0.118,0.052,Strict Comparison,visual_narrator
Entity F-Measure,0.183,0.078,Strict Comparison,visual_narrator
Action Precision,0.918,0.074,Strict Comparison,visual_narrator
Action Recall,0.409,0.113,Strict Comparison,visual_narrator
Action F-Measure,0.56,0.105,Strict Comparison,visual_narrator
Persona Precision,0.908,0.186,Inclusion Comparison,visual_narrator
Persona Recall,0.908,0.186,Inclusion Comparison,visual_narrator
Persona F-Measure,0.908,0.186,Inclusion Comparison,visual_narrator
Entity Precision,0.435,0.181,Inclusion Comparison,visual_narrator
Entity Recall,0.12,0.052,Inclusion Comparison,visual_narrator
Entity F-Measure,0.187,0.079,Inclusion Comparison,visual_narrator
Action Precision,0.918,0.074,Inclusion Comparison,visual_narrator
Action Recall,0.409,0.113,Inclusion Comparison,visual_narrator
Action F-Measure,0.56,0.105,Inclusion Comparison,visual_narrator
Persona Precision,0.899,0.207,Relaxed Comparison,visual_narrator
Persona Recall,0.899,0.207,Relaxed Comparison,visual_narrator
Persona F-Measure,0.899,0.207,Relaxed Comparison,visual_narrator
Entity Precision,0.6,0.206,Relaxed Comparison,visual_narrator
Entity Recall,0.166,0.063,Relaxed Comparison,visual_narrator
Entity F-Measure,0.258,0.093,Relaxed Comparison,visual_narrator
Action Precision,0.979,0.048,Relaxed Comparison,visual_narrator
Action Recall,0.435,0.108,Relaxed Comparison,visual_narrator
Action F-Measure,0.596,0.097,Relaxed Comparison,visual_narrator
