Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.572,0.349,Strict Comparison,visual_narrator
Persona Recall,0.572,0.349,Strict Comparison,visual_narrator
Persona F-Measure,0.572,0.349,Strict Comparison,visual_narrator
Entity Precision,0.383,0.168,Strict Comparison,visual_narrator
Entity Recall,0.355,0.17,Strict Comparison,visual_narrator
Entity F-Measure,0.368,0.169,Strict Comparison,visual_narrator
Action Precision,0.916,0.074,Strict Comparison,visual_narrator
Action Recall,0.844,0.1,Strict Comparison,visual_narrator
Action F-Measure,0.876,0.079,Strict Comparison,visual_narrator
Persona Precision,0.572,0.349,Inclusion Comparison,visual_narrator
Persona Recall,0.572,0.349,Inclusion Comparison,visual_narrator
Persona F-Measure,0.572,0.349,Inclusion Comparison,visual_narrator
Entity Precision,0.383,0.168,Inclusion Comparison,visual_narrator
Entity Recall,0.355,0.17,Inclusion Comparison,visual_narrator
Entity F-Measure,0.368,0.169,Inclusion Comparison,visual_narrator
Action Precision,0.916,0.074,Inclusion Comparison,visual_narrator
Action Recall,0.844,0.1,Inclusion Comparison,visual_narrator
Action F-Measure,0.876,0.079,Inclusion Comparison,visual_narrator
Persona Precision,0.572,0.349,Relaxed Comparison,visual_narrator
Persona Recall,0.572,0.349,Relaxed Comparison,visual_narrator
Persona F-Measure,0.572,0.349,Relaxed Comparison,visual_narrator
Entity Precision,0.529,0.216,Relaxed Comparison,visual_narrator
Entity Recall,0.49,0.212,Relaxed Comparison,visual_narrator
Entity F-Measure,0.508,0.213,Relaxed Comparison,visual_narrator
Action Precision,0.975,0.052,Relaxed Comparison,visual_narrator
Action Recall,0.9,0.103,Relaxed Comparison,visual_narrator
Action F-Measure,0.933,0.074,Relaxed Comparison,visual_narrator
