Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.908,0.186,Inclusion Comparison,visual_narrator
Persona Recall,0.908,0.186,Inclusion Comparison,visual_narrator
Persona F-Measure,0.908,0.186,Inclusion Comparison,visual_narrator
Entity Precision,0.435,0.181,Inclusion Comparison,visual_narrator
Entity Recall,0.12,0.052,Inclusion Comparison,visual_narrator
Entity F-Measure,0.187,0.079,Inclusion Comparison,visual_narrator
Action Precision,0.918,0.074,Inclusion Comparison,visual_narrator
Action Recall,0.409,0.113,Inclusion Comparison,visual_narrator
Action F-Measure,0.56,0.105,Inclusion Comparison,visual_narrator
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.908,0.186,Inclusion Comparison,visual_narrator
Persona Recall,0.908,0.186,Inclusion Comparison,visual_narrator
Persona F-Measure,0.908,0.186,Inclusion Comparison,visual_narrator
Entity Precision,0.435,0.181,Inclusion Comparison,visual_narrator
Entity Recall,0.12,0.052,Inclusion Comparison,visual_narrator
Entity F-Measure,0.187,0.079,Inclusion Comparison,visual_narrator
Action Precision,0.918,0.074,Inclusion Comparison,visual_narrator
Action Recall,0.409,0.113,Inclusion Comparison,visual_narrator
Action F-Measure,0.56,0.105,Inclusion Comparison,visual_narrator
