Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.899,0.207,Relaxed Comparison,visual_narrator
Persona Recall,0.899,0.207,Relaxed Comparison,visual_narrator
Persona F-Measure,0.899,0.207,Relaxed Comparison,visual_narrator
Entity Precision,0.529,0.216,Relaxed Comparison,visual_narrator
Entity Recall,0.49,0.212,Relaxed Comparison,visual_narrator
Entity F-Measure,0.508,0.213,Relaxed Comparison,visual_narrator
Action Precision,0.975,0.052,Relaxed Comparison,visual_narrator
Action Recall,0.9,0.103,Relaxed Comparison,visual_narrator
Action F-Measure,0.933,0.074,Relaxed Comparison,visual_narrator
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.899,0.207,Relaxed Comparison,visual_narrator
Persona Recall,0.899,0.207,Relaxed Comparison,visual_narrator
Persona F-Measure,0.899,0.207,Relaxed Comparison,visual_narrator
Entity Precision,0.529,0.216,Relaxed Comparison,visual_narrator
Entity Recall,0.49,0.212,Relaxed Comparison,visual_narrator
Entity F-Measure,0.508,0.213,Relaxed Comparison,visual_narrator
Action Precision,0.975,0.052,Relaxed Comparison,visual_narrator
Action Recall,0.9,0.103,Relaxed Comparison,visual_narrator
Action F-Measure,0.933,0.074,Relaxed Comparison,visual_narrator
