Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.899,0.207,Strict Comparison,visual_narrator
Persona Recall,0.899,0.207,Strict Comparison,visual_narrator
Persona F-Measure,0.899,0.207,Strict Comparison,visual_narrator
Entity Precision,0.423,0.172,Strict Comparison,visual_narrator
Entity Recall,0.118,0.052,Strict Comparison,visual_narrator
Entity F-Measure,0.183,0.078,Strict Comparison,visual_narrator
Action Precision,0.918,0.074,Strict Comparison,visual_narrator
Action Recall,0.409,0.113,Strict Comparison,visual_narrator
Action F-Measure,0.56,0.105,Strict Comparison,visual_narrator
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.899,0.207,Strict Comparison,visual_narrator
Persona Recall,0.899,0.207,Strict Comparison,visual_narrator
Persona F-Measure,0.899,0.207,Strict Comparison,visual_narrator
Entity Precision,0.423,0.172,Strict Comparison,visual_narrator
Entity Recall,0.118,0.052,Strict Comparison,visual_narrator
Entity F-Measure,0.183,0.078,Strict Comparison,visual_narrator
Action Precision,0.918,0.074,Strict Comparison,visual_narrator
Action Recall,0.409,0.113,Strict Comparison,visual_narrator
Action F-Measure,0.56,0.105,Strict Comparison,visual_narrator
