Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.899,0.207,Strict Comparison,visual_narrator
Persona Recall,0.899,0.207,Strict Comparison,visual_narrator
Persona F-Measure,0.899,0.207,Strict Comparison,visual_narrator
Entity Precision,0.383,0.168,Strict Comparison,visual_narrator
Entity Recall,0.355,0.17,Strict Comparison,visual_narrator
Entity F-Measure,0.368,0.169,Strict Comparison,visual_narrator
Action Precision,0.916,0.074,Strict Comparison,visual_narrator
Action Recall,0.844,0.1,Strict Comparison,visual_narrator
Action F-Measure,0.876,0.079,Strict Comparison,visual_narrator
Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.899,0.207,Strict Comparison,visual_narrator
Persona Recall,0.899,0.207,Strict Comparison,visual_narrator
Persona F-Measure,0.899,0.207,Strict Comparison,visual_narrator
Entity Precision,0.383,0.168,Strict Comparison,visual_narrator
Entity Recall,0.355,0.17,Strict Comparison,visual_narrator
Entity F-Measure,0.368,0.169,Strict Comparison,visual_narrator
Action Precision,0.916,0.074,Strict Comparison,visual_narrator
Action Recall,0.844,0.1,Strict Comparison,visual_narrator
Action F-Measure,0.876,0.079,Strict Comparison,visual_narrator
