Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.769,0.022,Strict Comparison,crf
Entity Recall,0.781,0.045,Strict Comparison,crf
Entity F-Measure,0.774,0.031,Strict Comparison,crf
Action Precision,0.825,0.069,Strict Comparison,crf
Action Recall,0.837,0.037,Strict Comparison,crf
Action F-Measure,0.83,0.047,Strict Comparison,crf
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.779,0.027,Inclusion Comparison,crf
Entity Recall,0.791,0.047,Inclusion Comparison,crf
Entity F-Measure,0.784,0.034,Inclusion Comparison,crf
Action Precision,0.826,0.068,Inclusion Comparison,crf
Action Recall,0.838,0.034,Inclusion Comparison,crf
Action F-Measure,0.831,0.045,Inclusion Comparison,crf
Persona Precision,1.0,0.0,Relaxed Comparison,crf
Persona Recall,1.0,0.0,Relaxed Comparison,crf
Persona F-Measure,1.0,0.0,Relaxed Comparison,crf
Entity Precision,0.823,0.017,Relaxed Comparison,crf
Entity Recall,0.835,0.043,Relaxed Comparison,crf
Entity F-Measure,0.829,0.027,Relaxed Comparison,crf
Action Precision,0.863,0.07,Relaxed Comparison,crf
Action Recall,0.875,0.031,Relaxed Comparison,crf
Action F-Measure,0.868,0.045,Relaxed Comparison,crf
