Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.72,0.128,Strict Comparison,crf
Entity Recall,0.632,0.124,Strict Comparison,crf
Entity F-Measure,0.672,0.124,Strict Comparison,crf
Action Precision,0.909,0.068,Strict Comparison,crf
Action Recall,0.912,0.06,Strict Comparison,crf
Action F-Measure,0.91,0.061,Strict Comparison,crf
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.736,0.124,Inclusion Comparison,crf
Entity Recall,0.646,0.117,Inclusion Comparison,crf
Entity F-Measure,0.687,0.118,Inclusion Comparison,crf
Action Precision,0.913,0.07,Inclusion Comparison,crf
Action Recall,0.916,0.062,Inclusion Comparison,crf
Action F-Measure,0.914,0.064,Inclusion Comparison,crf
Persona Precision,1.0,0.0,Relaxed Comparison,crf
Persona Recall,1.0,0.0,Relaxed Comparison,crf
Persona F-Measure,1.0,0.0,Relaxed Comparison,crf
Entity Precision,0.77,0.105,Relaxed Comparison,crf
Entity Recall,0.678,0.121,Relaxed Comparison,crf
Entity F-Measure,0.72,0.113,Relaxed Comparison,crf
Action Precision,0.938,0.05,Relaxed Comparison,crf
Action Recall,0.943,0.051,Relaxed Comparison,crf
Action F-Measure,0.94,0.047,Relaxed Comparison,crf
