Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.873,0.158,Strict Comparison,ecmfa_vn
Persona Recall,0.874,0.157,Strict Comparison,ecmfa_vn
Persona F-Measure,0.874,0.158,Strict Comparison,ecmfa_vn
Entity Precision,0.503,0.09,Strict Comparison,ecmfa_vn
Entity Recall,0.334,0.131,Strict Comparison,ecmfa_vn
Entity F-Measure,0.399,0.117,Strict Comparison,ecmfa_vn
Action Precision,0.088,0.019,Strict Comparison,ecmfa_vn
Action Recall,0.06,0.015,Strict Comparison,ecmfa_vn
Action F-Measure,0.071,0.015,Strict Comparison,ecmfa_vn
Persona Precision,0.89,0.13,Inclusion Comparison,ecmfa_vn
Persona Recall,0.891,0.13,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.89,0.13,Inclusion Comparison,ecmfa_vn
Entity Precision,0.669,0.067,Inclusion Comparison,ecmfa_vn
Entity Recall,0.439,0.129,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.526,0.106,Inclusion Comparison,ecmfa_vn
Action Precision,0.09,0.016,Inclusion Comparison,ecmfa_vn
Action Recall,0.061,0.012,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.072,0.012,Inclusion Comparison,ecmfa_vn
Persona Precision,0.926,0.097,Relaxed Comparison,ecmfa_vn
Persona Recall,0.927,0.096,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.927,0.096,Relaxed Comparison,ecmfa_vn
Entity Precision,0.575,0.097,Relaxed Comparison,ecmfa_vn
Entity Recall,0.381,0.141,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.455,0.125,Relaxed Comparison,ecmfa_vn
Action Precision,0.1,0.021,Relaxed Comparison,ecmfa_vn
Action Recall,0.069,0.02,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.081,0.019,Relaxed Comparison,ecmfa_vn
