Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.99,0.015,Strict Comparison,simple
Persona Recall,0.99,0.015,Strict Comparison,simple
Persona F-Measure,0.99,0.015,Strict Comparison,simple
Entity Precision,0.221,0.033,Strict Comparison,simple
Entity Recall,0.396,0.051,Strict Comparison,simple
Entity F-Measure,0.282,0.036,Strict Comparison,simple
Action Precision,0.293,0.047,Strict Comparison,simple
Action Recall,0.795,0.052,Strict Comparison,simple
Action F-Measure,0.427,0.056,Strict Comparison,simple
Persona Precision,0.99,0.015,Inclusion Comparison,simple
Persona Recall,0.99,0.015,Inclusion Comparison,simple
Persona F-Measure,0.99,0.015,Inclusion Comparison,simple
Entity Precision,0.224,0.034,Inclusion Comparison,simple
Entity Recall,0.402,0.047,Inclusion Comparison,simple
Entity F-Measure,0.287,0.036,Inclusion Comparison,simple
Action Precision,0.293,0.047,Inclusion Comparison,simple
Action Recall,0.795,0.052,Inclusion Comparison,simple
Action F-Measure,0.427,0.056,Inclusion Comparison,simple
Persona Precision,0.99,0.015,Relaxed Comparison,simple
Persona Recall,0.99,0.015,Relaxed Comparison,simple
Persona F-Measure,0.99,0.015,Relaxed Comparison,simple
Entity Precision,0.3,0.04,Relaxed Comparison,simple
Entity Recall,0.539,0.057,Relaxed Comparison,simple
Entity F-Measure,0.384,0.041,Relaxed Comparison,simple
Action Precision,0.321,0.048,Relaxed Comparison,simple
Action Recall,0.873,0.06,Relaxed Comparison,simple
Action F-Measure,0.469,0.057,Relaxed Comparison,simple
