Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0.0,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,1.0,0.0,Strict Comparison,crf
Entity Precision,0.733,0.134,Strict Comparison,crf
Entity Recall,0.619,0.105,Strict Comparison,crf
Entity F-Measure,0.67,0.111,Strict Comparison,crf
Action Precision,0.908,0.071,Strict Comparison,crf
Action Recall,0.907,0.069,Strict Comparison,crf
Action F-Measure,0.907,0.067,Strict Comparison,crf
Persona Precision,1.0,0.0,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,1.0,0.0,Inclusion Comparison,crf
Entity Precision,0.751,0.136,Inclusion Comparison,crf
Entity Recall,0.633,0.095,Inclusion Comparison,crf
Entity F-Measure,0.685,0.106,Inclusion Comparison,crf
Action Precision,0.908,0.071,Inclusion Comparison,crf
Action Recall,0.907,0.069,Inclusion Comparison,crf
Action F-Measure,0.907,0.067,Inclusion Comparison,crf
Persona Precision,1.0,0.0,Relaxed Comparison,crf
Persona Recall,1.0,0.0,Relaxed Comparison,crf
Persona F-Measure,1.0,0.0,Relaxed Comparison,crf
Entity Precision,0.779,0.11,Relaxed Comparison,crf
Entity Recall,0.66,0.101,Relaxed Comparison,crf
Entity F-Measure,0.713,0.098,Relaxed Comparison,crf
Action Precision,0.939,0.053,Relaxed Comparison,crf
Action Recall,0.939,0.06,Relaxed Comparison,crf
Action F-Measure,0.939,0.054,Relaxed Comparison,crf
