Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.566,0.259,Strict Comparison,visual_narrator
Persona Recall,0.566,0.259,Strict Comparison,visual_narrator
Persona F-Measure,0.566,0.259,Strict Comparison,visual_narrator
Entity Precision,0.421,0.172,Strict Comparison,visual_narrator
Entity Recall,0.122,0.069,Strict Comparison,visual_narrator
Entity F-Measure,0.189,0.1,Strict Comparison,visual_narrator
Action Precision,0.901,0.071,Strict Comparison,visual_narrator
Action Recall,0.392,0.036,Strict Comparison,visual_narrator
Action F-Measure,0.546,0.044,Strict Comparison,visual_narrator
Persona Precision,0.566,0.259,Inclusion Comparison,visual_narrator
Persona Recall,0.566,0.259,Inclusion Comparison,visual_narrator
Persona F-Measure,0.566,0.259,Inclusion Comparison,visual_narrator
Entity Precision,0.43,0.164,Inclusion Comparison,visual_narrator
Entity Recall,0.124,0.067,Inclusion Comparison,visual_narrator
Entity F-Measure,0.192,0.097,Inclusion Comparison,visual_narrator
Action Precision,0.901,0.071,Inclusion Comparison,visual_narrator
Action Recall,0.392,0.036,Inclusion Comparison,visual_narrator
Action F-Measure,0.546,0.044,Inclusion Comparison,visual_narrator
Persona Precision,0.566,0.259,Relaxed Comparison,visual_narrator
Persona Recall,0.566,0.259,Relaxed Comparison,visual_narrator
Persona F-Measure,0.566,0.259,Relaxed Comparison,visual_narrator
Entity Precision,0.591,0.191,Relaxed Comparison,visual_narrator
Entity Recall,0.169,0.077,Relaxed Comparison,visual_narrator
Entity F-Measure,0.261,0.111,Relaxed Comparison,visual_narrator
Action Precision,0.967,0.039,Relaxed Comparison,visual_narrator
Action Recall,0.421,0.028,Relaxed Comparison,visual_narrator
Action F-Measure,0.587,0.029,Relaxed Comparison,visual_narrator
