Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.566,0.259,Strict Comparison,visual_narrator
Persona Recall,0.566,0.259,Strict Comparison,visual_narrator
Persona F-Measure,0.566,0.259,Strict Comparison,visual_narrator
Entity Precision,0.362,0.166,Strict Comparison,visual_narrator
Entity Recall,0.339,0.169,Strict Comparison,visual_narrator
Entity F-Measure,0.35,0.168,Strict Comparison,visual_narrator
Action Precision,0.894,0.07,Strict Comparison,visual_narrator
Action Recall,0.841,0.075,Strict Comparison,visual_narrator
Action F-Measure,0.867,0.07,Strict Comparison,visual_narrator
Persona Precision,0.566,0.259,Inclusion Comparison,visual_narrator
Persona Recall,0.566,0.259,Inclusion Comparison,visual_narrator
Persona F-Measure,0.566,0.259,Inclusion Comparison,visual_narrator
Entity Precision,0.362,0.166,Inclusion Comparison,visual_narrator
Entity Recall,0.339,0.169,Inclusion Comparison,visual_narrator
Entity F-Measure,0.35,0.168,Inclusion Comparison,visual_narrator
Action Precision,0.894,0.07,Inclusion Comparison,visual_narrator
Action Recall,0.841,0.075,Inclusion Comparison,visual_narrator
Action F-Measure,0.867,0.07,Inclusion Comparison,visual_narrator
Persona Precision,0.566,0.259,Relaxed Comparison,visual_narrator
Persona Recall,0.566,0.259,Relaxed Comparison,visual_narrator
Persona F-Measure,0.566,0.259,Relaxed Comparison,visual_narrator
Entity Precision,0.496,0.199,Relaxed Comparison,visual_narrator
Entity Recall,0.463,0.197,Relaxed Comparison,visual_narrator
Entity F-Measure,0.479,0.198,Relaxed Comparison,visual_narrator
Action Precision,0.955,0.053,Relaxed Comparison,visual_narrator
Action Recall,0.898,0.057,Relaxed Comparison,visual_narrator
Action F-Measure,0.925,0.052,Relaxed Comparison,visual_narrator
