Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0,Strict Comparison,crf
Persona Recall,1.0,0,Strict Comparison,crf
Persona F-Measure,1.0,0,Strict Comparison,crf
Entity Precision,0.775,0,Strict Comparison,crf
Entity Recall,0.796,0,Strict Comparison,crf
Entity F-Measure,0.785,0,Strict Comparison,crf
Action Precision,0.813,0,Strict Comparison,crf
Action Recall,0.846,0,Strict Comparison,crf
Action F-Measure,0.829,0,Strict Comparison,crf
Persona Precision,1.0,0,Inclusion Comparison,crf
Persona Recall,1.0,0,Inclusion Comparison,crf
Persona F-Measure,1.0,0,Inclusion Comparison,crf
Entity Precision,0.783,0,Inclusion Comparison,crf
Entity Recall,0.804,0,Inclusion Comparison,crf
Entity F-Measure,0.793,0,Inclusion Comparison,crf
Action Precision,0.815,0,Inclusion Comparison,crf
Action Recall,0.847,0,Inclusion Comparison,crf
Action F-Measure,0.831,0,Inclusion Comparison,crf
Persona Precision,1.0,0,Relaxed Comparison,crf
Persona Recall,1.0,0,Relaxed Comparison,crf
Persona F-Measure,1.0,0,Relaxed Comparison,crf
Entity Precision,0.828,0,Relaxed Comparison,crf
Entity Recall,0.85,0,Relaxed Comparison,crf
Entity F-Measure,0.839,0,Relaxed Comparison,crf
Action Precision,0.855,0,Relaxed Comparison,crf
Action Recall,0.889,0,Relaxed Comparison,crf
Action F-Measure,0.872,0,Relaxed Comparison,crf
