Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.996,0.02,Strict Comparison,crf
Persona Recall,1.0,0.0,Strict Comparison,crf
Persona F-Measure,0.998,0.01,Strict Comparison,crf
Entity Precision,0.745,0.076,Strict Comparison,crf
Entity Recall,0.761,0.09,Strict Comparison,crf
Entity F-Measure,0.752,0.08,Strict Comparison,crf
Action Precision,0.844,0.099,Strict Comparison,crf
Action Recall,0.825,0.082,Strict Comparison,crf
Action F-Measure,0.831,0.077,Strict Comparison,crf
Persona Precision,0.996,0.02,Inclusion Comparison,crf
Persona Recall,1.0,0.0,Inclusion Comparison,crf
Persona F-Measure,0.998,0.01,Inclusion Comparison,crf
Entity Precision,0.75,0.078,Inclusion Comparison,crf
Entity Recall,0.766,0.091,Inclusion Comparison,crf
Entity F-Measure,0.757,0.082,Inclusion Comparison,crf
Action Precision,0.844,0.099,Inclusion Comparison,crf
Action Recall,0.825,0.082,Inclusion Comparison,crf
Action F-Measure,0.831,0.077,Inclusion Comparison,crf
Persona Precision,0.996,0.02,Relaxed Comparison,crf
Persona Recall,1.0,0.0,Relaxed Comparison,crf
Persona F-Measure,0.998,0.01,Relaxed Comparison,crf
Entity Precision,0.814,0.068,Relaxed Comparison,crf
Entity Recall,0.831,0.087,Relaxed Comparison,crf
Entity F-Measure,0.821,0.074,Relaxed Comparison,crf
Action Precision,0.882,0.087,Relaxed Comparison,crf
Action Recall,0.862,0.066,Relaxed Comparison,crf
Action F-Measure,0.869,0.058,Relaxed Comparison,crf
