Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.995,0.016,Strict Comparison,simple
Persona Recall,0.995,0.016,Strict Comparison,simple
Persona F-Measure,0.995,0.016,Strict Comparison,simple
Entity Precision,0.059,0.025,Strict Comparison,simple
Entity Recall,0.354,0.124,Strict Comparison,simple
Entity F-Measure,0.1,0.039,Strict Comparison,simple
Action Precision,0.16,0.054,Strict Comparison,simple
Action Recall,0.904,0.066,Strict Comparison,simple
Action F-Measure,0.268,0.072,Strict Comparison,simple
Persona Precision,0.995,0.016,Inclusion Comparison,simple
Persona Recall,0.995,0.016,Inclusion Comparison,simple
Persona F-Measure,0.995,0.016,Inclusion Comparison,simple
Entity Precision,0.06,0.024,Inclusion Comparison,simple
Entity Recall,0.361,0.121,Inclusion Comparison,simple
Entity F-Measure,0.101,0.039,Inclusion Comparison,simple
Action Precision,0.16,0.054,Inclusion Comparison,simple
Action Recall,0.904,0.066,Inclusion Comparison,simple
Action F-Measure,0.268,0.072,Inclusion Comparison,simple
Persona Precision,0.995,0.016,Relaxed Comparison,simple
Persona Recall,0.995,0.016,Relaxed Comparison,simple
Persona F-Measure,0.995,0.016,Relaxed Comparison,simple
Entity Precision,0.087,0.04,Relaxed Comparison,simple
Entity Recall,0.519,0.169,Relaxed Comparison,simple
Entity F-Measure,0.148,0.062,Relaxed Comparison,simple
Action Precision,0.168,0.057,Relaxed Comparison,simple
Action Recall,0.955,0.068,Relaxed Comparison,simple
Action F-Measure,0.283,0.077,Relaxed Comparison,simple
