Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.851,0,Strict Comparison,ecmfa_vn
Persona Recall,0.854,0,Strict Comparison,ecmfa_vn
Persona F-Measure,0.853,0,Strict Comparison,ecmfa_vn
Entity Precision,0.458,0,Strict Comparison,ecmfa_vn
Entity Recall,0.292,0,Strict Comparison,ecmfa_vn
Entity F-Measure,0.357,0,Strict Comparison,ecmfa_vn
Action Precision,0.087,0,Strict Comparison,ecmfa_vn
Action Recall,0.061,0,Strict Comparison,ecmfa_vn
Action F-Measure,0.072,0,Strict Comparison,ecmfa_vn
Persona Precision,0.87,0,Inclusion Comparison,ecmfa_vn
Persona Recall,0.873,0,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.872,0,Inclusion Comparison,ecmfa_vn
Entity Precision,0.629,0,Inclusion Comparison,ecmfa_vn
Entity Recall,0.402,0,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.49,0,Inclusion Comparison,ecmfa_vn
Action Precision,0.088,0,Inclusion Comparison,ecmfa_vn
Action Recall,0.063,0,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.073,0,Inclusion Comparison,ecmfa_vn
Persona Precision,0.911,0,Relaxed Comparison,ecmfa_vn
Persona Recall,0.914,0,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.913,0,Relaxed Comparison,ecmfa_vn
Entity Precision,0.527,0,Relaxed Comparison,ecmfa_vn
Entity Recall,0.337,0,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.411,0,Relaxed Comparison,ecmfa_vn
Action Precision,0.098,0,Relaxed Comparison,ecmfa_vn
Action Recall,0.07,0,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.081,0,Relaxed Comparison,ecmfa_vn
