Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0,Strict Comparison,crf
Persona Recall,1.0,0,Strict Comparison,crf
Persona F-Measure,1.0,0,Strict Comparison,crf
Entity Precision,0.784,0,Strict Comparison,crf
Entity Recall,0.805,0,Strict Comparison,crf
Entity F-Measure,0.795,0,Strict Comparison,crf
Action Precision,0.817,0,Strict Comparison,crf
Action Recall,0.858,0,Strict Comparison,crf
Action F-Measure,0.837,0,Strict Comparison,crf
Persona Precision,1.0,0,Inclusion Comparison,crf
Persona Recall,1.0,0,Inclusion Comparison,crf
Persona F-Measure,1.0,0,Inclusion Comparison,crf
Entity Precision,0.793,0,Inclusion Comparison,crf
Entity Recall,0.814,0,Inclusion Comparison,crf
Entity F-Measure,0.803,0,Inclusion Comparison,crf
Action Precision,0.818,0,Inclusion Comparison,crf
Action Recall,0.859,0,Inclusion Comparison,crf
Action F-Measure,0.838,0,Inclusion Comparison,crf
Persona Precision,1.0,0,Relaxed Comparison,crf
Persona Recall,1.0,0,Relaxed Comparison,crf
Persona F-Measure,1.0,0,Relaxed Comparison,crf
Entity Precision,0.838,0,Relaxed Comparison,crf
Entity Recall,0.861,0,Relaxed Comparison,crf
Entity F-Measure,0.849,0,Relaxed Comparison,crf
Action Precision,0.857,0,Relaxed Comparison,crf
Action Recall,0.9,0,Relaxed Comparison,crf
Action F-Measure,0.878,0,Relaxed Comparison,crf
