Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0,Strict Comparison,crf
Persona Recall,1.0,0,Strict Comparison,crf
Persona F-Measure,1.0,0,Strict Comparison,crf
Entity Precision,0.751,0,Strict Comparison,crf
Entity Recall,0.646,0,Strict Comparison,crf
Entity F-Measure,0.695,0,Strict Comparison,crf
Action Precision,0.908,0,Strict Comparison,crf
Action Recall,0.926,0,Strict Comparison,crf
Action F-Measure,0.917,0,Strict Comparison,crf
Persona Precision,1.0,0,Inclusion Comparison,crf
Persona Recall,1.0,0,Inclusion Comparison,crf
Persona F-Measure,1.0,0,Inclusion Comparison,crf
Entity Precision,0.758,0,Inclusion Comparison,crf
Entity Recall,0.652,0,Inclusion Comparison,crf
Entity F-Measure,0.701,0,Inclusion Comparison,crf
Action Precision,0.91,0,Inclusion Comparison,crf
Action Recall,0.929,0,Inclusion Comparison,crf
Action F-Measure,0.92,0,Inclusion Comparison,crf
Persona Precision,1.0,0,Relaxed Comparison,crf
Persona Recall,1.0,0,Relaxed Comparison,crf
Persona F-Measure,1.0,0,Relaxed Comparison,crf
Entity Precision,0.818,0,Relaxed Comparison,crf
Entity Recall,0.704,0,Relaxed Comparison,crf
Entity F-Measure,0.757,0,Relaxed Comparison,crf
Action Precision,0.939,0,Relaxed Comparison,crf
Action Recall,0.959,0,Relaxed Comparison,crf
Action F-Measure,0.949,0,Relaxed Comparison,crf
