Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,1.0,0,Strict Comparison,crf
Persona Recall,1.0,0,Strict Comparison,crf
Persona F-Measure,1.0,0,Strict Comparison,crf
Entity Precision,0.737,0,Strict Comparison,crf
Entity Recall,0.641,0,Strict Comparison,crf
Entity F-Measure,0.685,0,Strict Comparison,crf
Action Precision,0.902,0,Strict Comparison,crf
Action Recall,0.923,0,Strict Comparison,crf
Action F-Measure,0.913,0,Strict Comparison,crf
Persona Precision,1.0,0,Inclusion Comparison,crf
Persona Recall,1.0,0,Inclusion Comparison,crf
Persona F-Measure,1.0,0,Inclusion Comparison,crf
Entity Precision,0.743,0,Inclusion Comparison,crf
Entity Recall,0.646,0,Inclusion Comparison,crf
Entity F-Measure,0.691,0,Inclusion Comparison,crf
Action Precision,0.905,0,Inclusion Comparison,crf
Action Recall,0.926,0,Inclusion Comparison,crf
Action F-Measure,0.915,0,Inclusion Comparison,crf
Persona Precision,1.0,0,Relaxed Comparison,crf
Persona Recall,1.0,0,Relaxed Comparison,crf
Persona F-Measure,1.0,0,Relaxed Comparison,crf
Entity Precision,0.8,0,Relaxed Comparison,crf
Entity Recall,0.696,0,Relaxed Comparison,crf
Entity F-Measure,0.744,0,Relaxed Comparison,crf
Action Precision,0.931,0,Relaxed Comparison,crf
Action Recall,0.953,0,Relaxed Comparison,crf
Action F-Measure,0.942,0,Relaxed Comparison,crf
