Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.866,0.217,Strict Comparison,ecmfa_vn
Persona Recall,0.867,0.215,Strict Comparison,ecmfa_vn
Persona F-Measure,0.867,0.216,Strict Comparison,ecmfa_vn
Entity Precision,0.202,0.117,Strict Comparison,ecmfa_vn
Entity Recall,0.382,0.182,Strict Comparison,ecmfa_vn
Entity F-Measure,0.261,0.138,Strict Comparison,ecmfa_vn
Action Precision,0.078,0.08,Strict Comparison,ecmfa_vn
Action Recall,0.116,0.116,Strict Comparison,ecmfa_vn
Action F-Measure,0.092,0.093,Strict Comparison,ecmfa_vn
Persona Precision,0.88,0.197,Inclusion Comparison,ecmfa_vn
Persona Recall,0.881,0.195,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.88,0.196,Inclusion Comparison,ecmfa_vn
Entity Precision,0.278,0.126,Inclusion Comparison,ecmfa_vn
Entity Recall,0.535,0.158,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.361,0.139,Inclusion Comparison,ecmfa_vn
Action Precision,0.078,0.08,Inclusion Comparison,ecmfa_vn
Action Recall,0.116,0.116,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.092,0.093,Inclusion Comparison,ecmfa_vn
Persona Precision,0.926,0.125,Relaxed Comparison,ecmfa_vn
Persona Recall,0.928,0.122,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.927,0.123,Relaxed Comparison,ecmfa_vn
Entity Precision,0.238,0.129,Relaxed Comparison,ecmfa_vn
Entity Recall,0.452,0.199,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.308,0.153,Relaxed Comparison,ecmfa_vn
Action Precision,0.087,0.079,Relaxed Comparison,ecmfa_vn
Action Recall,0.129,0.116,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.103,0.093,Relaxed Comparison,ecmfa_vn
