Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.995,0.016,Strict Comparison,simple
Persona Recall,0.995,0.016,Strict Comparison,simple
Persona F-Measure,0.995,0.016,Strict Comparison,simple
Entity Precision,0.221,0.051,Strict Comparison,simple
Entity Recall,0.404,0.086,Strict Comparison,simple
Entity F-Measure,0.284,0.06,Strict Comparison,simple
Action Precision,0.291,0.045,Strict Comparison,simple
Action Recall,0.809,0.108,Strict Comparison,simple
Action F-Measure,0.427,0.058,Strict Comparison,simple
Persona Precision,0.995,0.016,Inclusion Comparison,simple
Persona Recall,0.995,0.016,Inclusion Comparison,simple
Persona F-Measure,0.995,0.016,Inclusion Comparison,simple
Entity Precision,0.223,0.049,Inclusion Comparison,simple
Entity Recall,0.409,0.083,Inclusion Comparison,simple
Entity F-Measure,0.287,0.058,Inclusion Comparison,simple
Action Precision,0.291,0.045,Inclusion Comparison,simple
Action Recall,0.809,0.108,Inclusion Comparison,simple
Action F-Measure,0.427,0.058,Inclusion Comparison,simple
Persona Precision,0.995,0.016,Relaxed Comparison,simple
Persona Recall,0.995,0.016,Relaxed Comparison,simple
Persona F-Measure,0.995,0.016,Relaxed Comparison,simple
Entity Precision,0.304,0.067,Relaxed Comparison,simple
Entity Recall,0.555,0.104,Relaxed Comparison,simple
Entity F-Measure,0.391,0.076,Relaxed Comparison,simple
Action Precision,0.318,0.045,Relaxed Comparison,simple
Action Recall,0.883,0.091,Relaxed Comparison,simple
Action F-Measure,0.467,0.057,Relaxed Comparison,simple
