Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.868,0.164,Strict Comparison,ecmfa_vn
Persona Recall,0.87,0.163,Strict Comparison,ecmfa_vn
Persona F-Measure,0.869,0.163,Strict Comparison,ecmfa_vn
Entity Precision,0.189,0.044,Strict Comparison,ecmfa_vn
Entity Recall,0.416,0.14,Strict Comparison,ecmfa_vn
Entity F-Measure,0.259,0.066,Strict Comparison,ecmfa_vn
Action Precision,0.067,0.004,Strict Comparison,ecmfa_vn
Action Recall,0.102,0.017,Strict Comparison,ecmfa_vn
Action F-Measure,0.08,0.007,Strict Comparison,ecmfa_vn
Persona Precision,0.891,0.121,Inclusion Comparison,ecmfa_vn
Persona Recall,0.893,0.119,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.892,0.12,Inclusion Comparison,ecmfa_vn
Entity Precision,0.253,0.051,Inclusion Comparison,ecmfa_vn
Entity Recall,0.546,0.127,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.344,0.066,Inclusion Comparison,ecmfa_vn
Action Precision,0.067,0.004,Inclusion Comparison,ecmfa_vn
Action Recall,0.102,0.017,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.08,0.007,Inclusion Comparison,ecmfa_vn
Persona Precision,0.922,0.1,Relaxed Comparison,ecmfa_vn
Persona Recall,0.924,0.099,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.923,0.099,Relaxed Comparison,ecmfa_vn
Entity Precision,0.217,0.05,Relaxed Comparison,ecmfa_vn
Entity Recall,0.473,0.136,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.296,0.069,Relaxed Comparison,ecmfa_vn
Action Precision,0.08,0.013,Relaxed Comparison,ecmfa_vn
Action Recall,0.121,0.023,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.096,0.015,Relaxed Comparison,ecmfa_vn
