Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.994,0.01,Strict Comparison,simple
Persona Recall,0.994,0.01,Strict Comparison,simple
Persona F-Measure,0.994,0.01,Strict Comparison,simple
Entity Precision,0.055,0.013,Strict Comparison,simple
Entity Recall,0.337,0.102,Strict Comparison,simple
Entity F-Measure,0.094,0.023,Strict Comparison,simple
Action Precision,0.15,0.023,Strict Comparison,simple
Action Recall,0.888,0.038,Strict Comparison,simple
Action F-Measure,0.257,0.034,Strict Comparison,simple
Persona Precision,0.994,0.01,Inclusion Comparison,simple
Persona Recall,0.994,0.01,Inclusion Comparison,simple
Persona F-Measure,0.994,0.01,Inclusion Comparison,simple
Entity Precision,0.056,0.012,Inclusion Comparison,simple
Entity Recall,0.341,0.099,Inclusion Comparison,simple
Entity F-Measure,0.095,0.022,Inclusion Comparison,simple
Action Precision,0.15,0.023,Inclusion Comparison,simple
Action Recall,0.888,0.038,Inclusion Comparison,simple
Action F-Measure,0.257,0.034,Inclusion Comparison,simple
Persona Precision,0.994,0.01,Relaxed Comparison,simple
Persona Recall,0.994,0.01,Relaxed Comparison,simple
Persona F-Measure,0.994,0.01,Relaxed Comparison,simple
Entity Precision,0.084,0.02,Relaxed Comparison,simple
Entity Recall,0.505,0.11,Relaxed Comparison,simple
Entity F-Measure,0.144,0.033,Relaxed Comparison,simple
Action Precision,0.159,0.021,Relaxed Comparison,simple
Action Recall,0.942,0.028,Relaxed Comparison,simple
Action F-Measure,0.272,0.032,Relaxed Comparison,simple
