Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.996,0,Strict Comparison,crf
Persona Recall,0.996,0,Strict Comparison,crf
Persona F-Measure,0.996,0,Strict Comparison,crf
Entity Precision,0.76,0,Strict Comparison,crf
Entity Recall,0.662,0,Strict Comparison,crf
Entity F-Measure,0.708,0,Strict Comparison,crf
Action Precision,0.888,0,Strict Comparison,crf
Action Recall,0.9,0,Strict Comparison,crf
Action F-Measure,0.894,0,Strict Comparison,crf
Persona Precision,0.996,0,Inclusion Comparison,crf
Persona Recall,0.996,0,Inclusion Comparison,crf
Persona F-Measure,0.996,0,Inclusion Comparison,crf
Entity Precision,0.766,0,Inclusion Comparison,crf
Entity Recall,0.667,0,Inclusion Comparison,crf
Entity F-Measure,0.713,0,Inclusion Comparison,crf
Action Precision,0.892,0,Inclusion Comparison,crf
Action Recall,0.904,0,Inclusion Comparison,crf
Action F-Measure,0.898,0,Inclusion Comparison,crf
Persona Precision,0.996,0,Relaxed Comparison,crf
Persona Recall,0.996,0,Relaxed Comparison,crf
Persona F-Measure,0.996,0,Relaxed Comparison,crf
Entity Precision,0.807,0,Relaxed Comparison,crf
Entity Recall,0.702,0,Relaxed Comparison,crf
Entity F-Measure,0.751,0,Relaxed Comparison,crf
Action Precision,0.926,0,Relaxed Comparison,crf
Action Recall,0.939,0,Relaxed Comparison,crf
Action F-Measure,0.932,0,Relaxed Comparison,crf
