Measurement,Average,Standard Deviation,Comparison Mode,nlp
Persona Precision,0.852,0,Strict Comparison,ecmfa_vn
Persona Recall,0.857,0,Strict Comparison,ecmfa_vn
Persona F-Measure,0.855,0,Strict Comparison,ecmfa_vn
Entity Precision,0.174,0,Strict Comparison,ecmfa_vn
Entity Recall,0.379,0,Strict Comparison,ecmfa_vn
Entity F-Measure,0.239,0,Strict Comparison,ecmfa_vn
Action Precision,0.068,0,Strict Comparison,ecmfa_vn
Action Recall,0.105,0,Strict Comparison,ecmfa_vn
Action F-Measure,0.083,0,Strict Comparison,ecmfa_vn
Persona Precision,0.873,0,Inclusion Comparison,ecmfa_vn
Persona Recall,0.878,0,Inclusion Comparison,ecmfa_vn
Persona F-Measure,0.875,0,Inclusion Comparison,ecmfa_vn
Entity Precision,0.244,0,Inclusion Comparison,ecmfa_vn
Entity Recall,0.532,0,Inclusion Comparison,ecmfa_vn
Entity F-Measure,0.335,0,Inclusion Comparison,ecmfa_vn
Action Precision,0.068,0,Inclusion Comparison,ecmfa_vn
Action Recall,0.105,0,Inclusion Comparison,ecmfa_vn
Action F-Measure,0.083,0,Inclusion Comparison,ecmfa_vn
Persona Precision,0.914,0,Relaxed Comparison,ecmfa_vn
Persona Recall,0.919,0,Relaxed Comparison,ecmfa_vn
Persona F-Measure,0.917,0,Relaxed Comparison,ecmfa_vn
Entity Precision,0.203,0,Relaxed Comparison,ecmfa_vn
Entity Recall,0.442,0,Relaxed Comparison,ecmfa_vn
Entity F-Measure,0.278,0,Relaxed Comparison,ecmfa_vn
Action Precision,0.08,0,Relaxed Comparison,ecmfa_vn
Action Recall,0.125,0,Relaxed Comparison,ecmfa_vn
Action F-Measure,0.098,0,Relaxed Comparison,ecmfa_vn
